year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
1,10523.583333333334,2635.0,1079,140,7081.583333333333,5421.5,0.23441261043333336,1.0235293075583334,1217696.262073144,1451080.4599865396,1541015.9015001352,0.19833781198333333,0.915298515,-0.0011642848545454553,0.016461462354545455,0.007463103554545455,11.874932283725,14.29047532885,115735.5121438844,131826.8843854221,103505.695289269,7826.666666666667,0.747044072,89.07466644894167,150242.6729246896,0.17259934271666666,0.16666666665833335,0.4722222222166667,613072.5728667154,608402.6150227854,0.017059543458333333,74239.07917751619,127558.8842445157,81341.6522442103,0.0,436325.2383441604,0.395711301475,0.107184793575,0.8939490590416667,0.3002239354333333,0.003826997258333334,0.0,0.0,0.45020851170000004,0.0,-0.45020851170000004,1.0147375917500001,0.9873392997583333,0.07750205454166667,0.07905801509166667,0.7096482738833334,,,,0.23441261043333336
2,11246.916666666666,2541.8333333333335,907,437,7174.916666666667,4420.666666666667,0.38385037568333336,0.7108798831083334,1498422.2222982668,1605839.2659360454,2323253.2903240626,0.35481714731666664,0.8345120228,-0.007376139058333334,-0.012666389441666667,0.0035136140833333333,13.971762617233333,15.030035300266666,120481.6046778888,126253.7555538163,98376.2450176975,7621.166666666667,0.6777868504166666,81.621418525975,164884.5745848119,0.17299129715833336,0.0,0.194444444425,845253.3739198745,831142.2996003672,0.01,110927.9309401509,146015.1495599662,192086.5784992632,51372.2856439081,438984.74589134,0.11277988141666667,0.013212868241666667,0.8848858744416667,0.3075534541,0.0001498801,0.0,0.0,0.7878748607416667,0.0,-0.7878748607416667,0.9471086802166667,0.9949548640083333,0.253904647,0.2675340276916667,0.9847814807583334,-0.08826245304243718,0.23053857432984404,0.06873450899962763,0.38385037568333336
3,11741.916666666666,2442.1666666666665,738,175,7088.0,4465.833333333333,0.36997397288333334,0.7051946219666667,1451434.8696974188,1476189.9753147487,2205332.413930396,0.3402868826,1.1395850709,0.026517602125,0.01789894381666667,0.0040226632833333335,14.580082979841668,14.852045698316667,123151.3159900138,120946.8265981052,100462.3007522457,6672.333333333333,0.5688729213833333,81.43458516191667,180970.2043914869,0.1465233431,0.0,0.08333333332500001,1191479.4892782276,1171237.932759492,0.01,93709.3251541661,122691.0092589253,205487.6038999515,82796.5946410262,525436.3498972019,0.11656358325833334,0.0006038647333333334,0.8753576387333334,0.31340485480833336,0.0001459427916666667,0.0,0.0,0.8469379532666667,0.0,-0.8469379532666667,0.9231421302666667,1.00087665285,0.38396486750833336,0.39783036680833334,0.7389552218083333,0.36557058468301307,-0.03135788558232888,0.04401206256529577,0.36997397288333334
4,12215.666666666666,2336.8333333333335,672,185,7058.166666666667,4218.75,0.40229845830833333,0.62878194255,1790650.3204798198,1374295.680217978,2861855.115830265,0.37413451133333336,1.4244743946,0.0188293985,0.023941508033333336,0.0033285402583333335,20.543405802633334,15.723976561866666,126719.3090900793,120073.2525505923,98836.4715772177,6335.583333333333,0.5182223441666667,79.44638110435001,233137.0373256353,0.12190413011666668,0.0,0.16666666665000002,1679632.814275802,1689619.8791927812,0.01,272315.9912253737,145076.0138290236,347889.1570284161,202813.1431993925,734345.9028057384,0.07058426980833334,0.03012512019166667,0.8686687796583333,0.32940446171666665,0.0,0.0,0.0,0.8480926055416668,0.0029808498416666663,-0.014304751175,0.893930781525,0.9477278640416666,0.4262325196166667,0.45213229205833333,0.5508293345583334,0.24999390653214304,0.23371041847238883,0.040346905317842685,0.40229845830833333
5,12773.5,2257.4166666666665,773,199,7034.583333333333,4410.833333333333,0.3729898564166667,0.700601161625,2946818.6845472623,1720081.3989569838,4495994.296556078,0.34344487583333333,1.9771471422,0.027763772775,0.046349639224999996,0.0037606952833333335,31.06290317880833,18.187283208166665,130841.4084426079,122794.7039250883,107999.9669121253,7191.666666666667,0.5631876346416668,80.80440293299166,297471.3924296321,0.11424295756666668,0.0,0.2222222222,2428747.757828467,2375450.2656822708,0.01,661065.803920947,277968.2554337124,448629.1422949988,170660.8868612864,910064.7084563308,0.11238197323333333,0.058054380366666665,0.8617733272416667,0.45953745488333336,0.00016149870833333333,0.0,0.0,0.8716331656,0.016747224666666668,0.07225695930833334,0.8958947666583335,0.9367093319416667,0.3601892409166667,0.4092977769083333,0.4622672968333334,0.38798363080102494,0.6456695373989252,0.04566540235217076,0.3729898564166667
6,13298.166666666666,2185.8333333333335,741,197,7008.5,4623.833333333333,0.3402400495416667,0.8220964219083333,3611861.989367517,1907067.401569593,5234258.285247771,0.3091518843166667,1.7384503831,-0.010045630841666667,0.0022371488333333338,0.0034142193083333337,39.903269419125,21.097614851150002,134982.5458743019,143677.5384574844,118054.9506508488,8687.583333333334,0.6526956088166668,81.05371490670834,368730.4674648889,0.10838663145,0.0,0.16666666666666666,3239698.595992808,3252827.616330975,0.01,941844.91592116,289073.33226544387,504862.2434376955,215788.9111722518,1128908.132735902,0.08255007701666667,0.152052913325,0.8562207654500001,0.4589249580416667,0.0001298027,0.0,0.0,0.8748192830583333,0.053966034425000003,-0.11097672285833333,0.8728851171333334,0.9100677770666667,0.34727023446666666,0.41650011841666673,0.4309094874583334,-0.12072786794937207,0.22568178636427705,0.041074620633864356,0.3402400495416667
7,13894.333333333334,2095.1666666666665,767,153,6953.0,4981.5,0.28358353769166667,1.0324456917833333,3524282.205219296,2222501.1239891336,4701760.661252727,0.24982569391666667,1.4972850669,-0.011535721433333333,-0.008452163033333335,0.0036930857083333334,38.896347764383336,24.578281724908333,139810.6525424184,154030.8274374183,131019.6844246532,10564.083333333334,0.7600668859916667,82.371749077075,473354.9558169991,0.10615768878333333,0.0,0.25000000000000006,3910449.160478662,3965205.4298810917,0.010534431249999998,1003153.1988219918,262573.6251502055,379235.1516962919,116661.5265460863,1239975.5503880943,0.09830921429166667,0.10958427041666667,0.85402481575,0.46102391535833337,0.00019864918333333337,0.0,0.0,0.8521189049750001,0.13028166586666667,-0.13200674529166667,0.8975295628166667,0.9252779285333333,0.2939523009,0.36350911315000006,0.5125991456916666,-0.13872430213967613,-0.024247821319318352,0.044830741079597614,0.28358353769166667
8,14366.833333333334,1995.0833333333333,522,202,6950.5,4643.333333333333,0.33198499409166665,0.8702398401166667,2716997.125808744,1846453.1915807114,3884047.315562837,0.300507847225,1.3611270894,-0.007633920108333333,-0.025097622633333334,0.0018600782416666667,34.68301853985,23.60622537138333,144136.4034794971,147639.2735974472,124884.4570122343,7276.333333333333,0.5065957343749999,79.93098409143333,586289.0770039288,0.10963421523333333,0.0,0.3055555555416667,4404264.285728097,4416691.733604608,0.01,384671.7499122686,156880.3632452844,413456.8338883541,256576.4706430696,1489330.986440142,0.11833100639166667,0.016167804941666666,0.8523643039750001,0.4632682928166667,0.00041733359999999997,0.0,0.0,0.7133445634583334,0.20188828364166667,-0.11857520980000001,0.9022229336250001,0.9109680670833334,0.4064844354583334,0.5065604413333333,0.5757028815333334,-0.09093657614705486,-0.22906368798020782,0.03400666938560093,0.33198499409166665
9,14758.25,1932.5833333333333,634,173,6908.0,4833.333333333333,0.300360322375,0.8912490092666667,2425330.883781709,1767276.1774270306,3312512.1538459323,0.2673930077166667,1.4311965397,0.004316957416666667,0.0093261126,0.0026097522583333334,31.190685845525,22.750759830025,147824.51009394642,148551.9920555597,130985.1154038371,8800.333333333334,0.5966613337750001,80.15018754360834,658863.5991088143,0.11568684565,0.0,0.13888888887500003,4828386.496630945,4792277.061917779,0.01,581348.6122476703,145339.6275764068,363505.7742181676,218166.1466417607,1712774.0700115804,0.027746770108333332,0.05568003670833333,0.849413050575,0.4631041129166667,0.0,0.0,0.0,0.7332387364666667,0.23119975448333333,-0.13167364249166666,0.9162049802833333,0.9224326534333334,0.35072683620833334,0.4372278215916667,0.5397182824166668,0.05147899181911608,-0.10734874882880774,0.027244463521304718,0.300360322375
10,15123.083333333334,1880.8333333333333,510,324,6925.583333333333,4504.75,0.34960417085,0.73869509195,2892755.86456606,1700120.6034797404,4256870.699234549,0.31895724695833333,1.9510803973000002,0.026529262033333334,0.013565416750000002,0.0010299620083333335,37.052219438933335,21.720556727383336,151642.5720941695,135940.9536131038,121891.0556015171,6685.666666666667,0.4421100385416667,73.41494413518333,688009.2576779472,0.11352729833333335,0.0,0.08333333332500001,5504577.411782799,5442582.627384863,0.01,651529.1132581505,187877.8959086706,548915.2376556292,361037.3417469589,2079584.1456487377,0.030187631375,0.024065053550000003,0.8437759809583333,0.4664261384083333,0.0,0.0,0.0,0.6917241691916667,0.2682377470333333,-0.11699470020833334,0.88325277555,0.8639510915166667,0.3712782715166667,0.47626824798333334,0.42911585111666667,0.3632511979863895,0.192726272489268,0.024720636480160874,0.34960417085
