year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
1,10879.25,2631.9166666666665,1642,286,7103.916666666667,5424.75,0.23648619348333336,0.9977465628833334,1165864.4204035709,1353551.9787051333,1465949.9094582587,0.1963012562916667,0.9352409998000001,0.00025582358181818116,0.010277528354545455,0.009977621154545454,11.600046713533333,13.717865362458333,117756.7095168884,134363.7532846974,103590.6757680665,8024.25,0.7420488884416666,83.04953317681667,149024.2528536957,0.16713937004166668,0.16666666665000002,0.5555555555666668,601705.3726161666,588517.1007922943,0.03730778735,75973.85597645989,62020.1707731411,20039.0684064704,0.0,444429.054298508,0.227372435475,0.08464527955833334,0.6128854231583334,0.059638451725000007,0.0011181723166666666,0.0,0.0,0.419603236275,0.0,-0.419603236275,1.0071181143416668,1.0144618556416667,0.08482816701666668,0.08788167602500001,0.7607765840583333,,,,0.23648619348333336
2,11404.583333333334,2479.0833333333335,1043,1156,6979.75,4195.666666666667,0.3990403865666667,0.7128477777,1221259.1481160754,1276184.2749620937,1926384.5077938659,0.3674109332416667,0.8610469442,-0.006534907416666667,-0.029868157425000003,-0.0008288977583333334,13.660370690425,14.333212358783333,120128.3414123007,113952.14064153189,88342.6013845098,6565.5,0.5754651468583333,69.55513207516667,145298.4440363111,0.17268227220000001,0.0,0.13888888888333337,764293.8900649797,756753.2335236385,0.03,41642.6033276787,56842.2415252203,40692.6148158973,247.47324765480002,444429.054298508,0.12912045821666668,0.007129426233333333,0.6075121437083334,0.06159392761666666,0.0,0.0,0.0,0.7118306139083334,0.0,-0.7118306139083334,0.9958290826500001,1.0368522751166667,0.37122651503333337,0.3706531458,0.9885300429416667,-0.07933148313201233,0.04751386760162846,0.04828764237730865,0.3990403865666667
3,11089.916666666666,2271.0833333333335,649,1008,6620.666666666667,3964.5,0.40131357488333336,0.6769383874333333,980981.9244766493,1028045.7608559836,1559304.784976949,0.36980376303333334,1.1385142079,0.023885189791666667,0.0073337156833333346,-0.002699010316666667,13.544662851658332,14.125481886916667,115068.5976519145,92869.870076302,82419.1776046963,4533.416666666667,0.408380648075,69.36827061648333,155173.7140980158,0.15198008023333334,0.0,0.24999999997500003,923157.3493654255,905456.3783036639,0.03,90437.679554154,35471.8137507891,38484.7178522995,4600.7348735346,444429.054298508,0.11927488845,0.0,0.6026111772166667,0.0633371597,9.342301666666667e-05,0.0,0.0,0.5682486747833334,0.0,-0.5682486747833334,0.9753519948166667,1.0176151487166667,0.5659869733916667,0.565529612725,0.6709401473083334,0.32224406063921984,-0.19674548519049362,-0.027591246209491938,0.40131357488333336
4,10513.583333333334,2026.0833333333333,607,1310,6164.75,3516.3333333333335,0.4290487757583334,0.6276007360416667,1190988.59199858,920790.6886845739,1981609.1079583433,0.39899871131666664,1.4204995863,0.018859785483333332,0.02038156545,-0.00554810735,19.96886044378333,15.43062127115,108690.6879573703,80385.4953228345,69415.34973028219,3716.4166666666665,0.35452909061666665,64.10408353493334,165085.0299009103,0.13184947360833335,0.0,0.305555555525,1117034.0557461693,1136211.966569372,0.03,169445.3938463045,39767.5626799158,60641.569889328,20874.0072094124,444429.054298508,0.06591716778333334,0.008680555558333332,0.5969479050416667,0.07665857481666667,0.0005581901166666666,0.0,0.0,0.4484760164833334,0.0,-0.4484760164833334,0.9549821186666666,0.9455344522166667,0.5576568092333334,0.5821220256333334,0.5988243390666667,0.24767840088717463,0.2140780194639862,-0.051969131117606704,0.4290487757583334
5,9897.416666666666,1785.6666666666667,632,1126,5672.583333333333,3474.0833333333335,0.387694867025,0.6644941349833333,1365429.3736451846,902009.6788675693,2118922.188538145,0.355468281075,1.641814213,0.012345895266666669,0.0081992263,-0.00413503605,24.180643570525003,15.963273834916668,101419.2280549932,79376.2222862805,70704.44106326,3974.25,0.4015026946,67.47964783725,234161.9693861026,0.13631790150833334,0.0,0.6388888889166667,1333123.179864251,1316210.8042922714,0.03,153229.657360822,43512.869409416104,61487.2424810144,17974.373071598202,444429.054298508,0.091866056075,0.03769841270833333,0.5905742785916667,0.21273332235833334,0.00042856735833333336,0.0,0.0,0.4943457957583333,0.007833099008333334,-0.4860356232083334,0.9828830431750001,0.8847742699416666,0.49056746470833335,0.6121018836833333,0.5911622389416668,0.15580055695507933,0.1464672145632211,-0.05860672304875447,0.387694867025
6,9381.666666666666,1592.6666666666667,494,1054,5285.333333333333,3110.0833333333335,0.4115174719166667,0.6451697038416667,1581870.440990772,842990.6880987681,2553206.7159448876,0.3805447072833334,1.9940116306000002,0.016572114483333334,0.017691586275,-0.004949736258333334,31.832335925075,16.956638369375,95802.7713723191,70546.8436103768,63068.9762948187,3187.3333333333335,0.3393800510916667,64.89942078125834,288347.5638408007,0.15333346618333335,0.0,0.58333333335,1587803.5279399096,1572547.5893499958,0.03,180217.0891919802,47474.9593053942,76149.83911214,28674.8798067454,460518.5055479746,0.044275047766666666,0.0,0.5861309785000001,0.21307443518333335,0.0,0.0,0.0,0.4764185329333333,0.03921226396666667,-0.05803139613333333,0.9823755820416666,0.8584938653416666,0.5057685314333333,0.6416271724666667,0.557046083075,0.21451721809403068,0.15851502210456414,-0.05210955720768884,0.4115174719166667
7,8875.5,1389.6666666666667,466,879,4893.666666666667,3010.8333333333335,0.3844742683833333,0.6982530684166667,2187523.4062683107,924282.1911209192,3370626.890182028,0.35207817724999996,2.6034086089,0.022861273658333334,0.03330391568333333,-0.0038497318583333336,44.387990950950005,18.762387880741667,90258.2969059564,69445.6836473826,63450.8055913926,3592.3333333333335,0.40479471439166664,66.80430774690834,356573.2044726121,0.15056221729166666,0.0,0.6666666667,2073640.5339529337,2115129.5139539535,0.03,522547.7292114488,69727.4661547747,91180.9648098581,21544.1419510622,484168.3192119756,0.0530416023,0.0,0.581448148925,0.210779499875,0.00023062498333333332,0.0,0.0,0.49235943425833334,0.06286526254166667,-0.19722503530000002,0.9894518889666667,0.8757966863500001,0.47856179358333334,0.6204127625583333,0.34994798525833337,0.3056135525732273,0.38287140942983955,-0.05395274471486933,0.3844742683833333
8,8730.25,1246.0,443,349,4655.916666666667,3044.0833333333335,0.34618754085,0.8346289196916667,2861519.111433593,1065043.8197887058,4158602.703024589,0.3117763587916667,2.6459387864,0.001646844541666667,0.014139485316666667,0.000895696475,60.43921228339167,22.496111335241665,88007.48309605519,78283.1424529571,70884.1852451904,4001.0,0.45808093219166673,72.79266856274167,436836.9850865407,0.14342117013333333,0.0,0.6666666667,2563955.4405928636,2541421.3844220964,0.03,615291.7100921975,94114.6329473653,96776.2324442943,9077.2211267554,494197.508118559,0.13395128669166667,0.022321428575,0.578063368125,0.20977962819999998,0.0005593709083333334,0.0,0.0,0.45875397123333334,0.0793256194,-0.12256860576666667,0.9769519869166667,0.8840620368000001,0.4421495941833333,0.6055568886916667,0.32398592545,0.01633634357457625,0.30810902559211906,-0.016365275195763584,0.34618754085
9,8950.583333333334,1175.8333333333333,500,188,4535.75,3012.4166666666665,0.33563239058333333,1.005715191225,2548852.852623417,1173750.8975161004,3660525.5274138986,0.30066567430833335,1.8164146966999999,-0.0291334681,-0.020576595858333335,0.0029060684,59.43462707623333,27.5128365068,89615.5551133801,88585.7088819952,78741.4321658564,5114.75,0.5711539964583333,75.87651778781667,551494.4583091447,0.14616393371666667,0.0,0.6388888889166667,2927607.479053558,2949385.1820639693,0.030759536633333334,606079.9532399095,64379.6577038119,73855.6659589265,12601.6701775907,494197.508118559,0.14797984534166667,0.06547619048333334,0.5780494246583333,0.2112320278416667,0.00019888623333333335,0.0,0.0,0.4777685862416667,0.10982177494166667,0.022149032408333335,0.9528368119916667,0.8647230284749999,0.38957923515833337,0.5440836907333334,0.50665295945,-0.3135084205136244,-0.10926582931453266,0.0252379179672213,0.33563239058333333
10,9336.75,1119.0833333333333,495,169,4463.416666666667,3238.9166666666665,0.27442645908333335,1.08360293195,2367573.6146580577,1251151.4623759247,3094393.276345742,0.23623837798333333,1.771656792,-0.0011788146833333329,-0.017815627475,0.0029319717833333338,52.377038335274996,27.730461881599997,92754.8783166931,91352.4202418561,81888.2779565303,5807.166666666667,0.622673032825,77.97098737167501,661286.9483061247,0.1596291265166667,0.0,0.58333333335,3197242.3237007293,3208770.510675311,0.031827797075,407479.4159560171,54660.8833719202,62977.9232456262,13423.6901753769,500930.9441934596,0.2573766956166667,0.32208994708333333,0.5775390097833334,0.21435007243333334,0.00024981107500000004,0.0,0.0,0.5710927893916667,0.13481010459166667,-0.10135391394166667,0.9416443283250001,0.8740774329833334,0.31342769597500003,0.4703424907166667,0.5994321842916667,-0.024640796389345798,-0.0711218922578355,0.04314430158183358,0.27442645908333335
