period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,10182,2674,190,8,7228,6550,0.0938018816,0.9287325649,111891.7771697027,117156.62562904,117300.1644448062,0.0461072438,0.9550614536,,,,10.7543855543,11.2604121065,9400.4045876011,16251.6251732914,9382.2005684506,9958,0.9780003929000001,94.2680576949,50471.099868946,0.0976412006,0.0,0.33333333330000003,466726.4520296943,417264.7484361394,0.0672438929,0.0,5605.0371507203,1664.7934579384,0.0,444429.054298508,0.0693606755,0.1375,0.6160371107,0.0591119947,0.0,0,0,0.0,0.0,0.0,1.0057151504,1.0060000269,0.0049302719,0.0089686099,0.1858083394
2,1,2,10333,2667,155,4,7237,6220,0.140527843,0.8800376728,112488.145208768,117576.4282330997,124336.4745228394,0.0952924663,0.9567236129000001,0.001740369,0.0053298648,0.0148300923,10.8377805841,11.3280161984,9499.4775047729,15458.7962382339,9427.0905430108,10073,0.9748378980000001,93.4567772367,63831.1986296804,0.11970124330000001,0.33333333330000003,0.33333333330000003,469963.7800499256,466709.225302578,0.056002945400000004,0.0,5279.9543280973,1677.0115081306,0.0,444429.054298508,0.084939759,0.1234567901,0.6155170131000001,0.0590493844,0.0,0,0,0.0,0.0,0.0,1.0091696145,1.0297479896,0.0139299282,0.0269058296,0.3634085213
3,1,3,10494,2649,170,9,7196,5810,0.19260700390000002,1.0846561904,82495.9276300052,101007.4398461498,97066.8950885097,0.1501126357,0.8167312007,-0.1463248218,-0.2666255855,0.0155811478,11.091138931,13.5799133434,9583.1186886275,15220.6854013351,9431.7462188163,10100,0.9624547360000001,92.2118904956,72816.7185707444,0.13240878990000002,0.33333333330000003,0.6666666667000001,474615.3269017824,469963.7230858313,0.044774194,0.0,3629.9222992924,1406.4423968041,0.0,444429.054298508,0.10399032650000001,0.1111111111,0.6148961503,0.0590025136,0.0,0,0,0.0,0.0,0.0,0.9999153259,1.0118789753,0.0260087164,0.0358744395,0.3389830508
4,1,4,10650,2643,166,10,6634,5169,0.2208320772,1.3759181045,69429.2030565212,94522.9754763617,84651.5121731696,0.1798232391,0.7345219795,-0.10065639850000001,-0.1583923589,0.0148656375,12.8918628824,17.5513643457,9670.3782200696,14148.206952466,9453.4003185682,10170,0.9549295775000001,91.1297401266,79382.1159505383,0.1412152664,0.33333333330000003,0.6666666667000001,480446.2388276064,474615.2998964682,0.03,0.0,3754.53272181,973.248664916,0.0,444429.054298508,0.1052631579,0.14814814810000002,0.6142554880000001,0.058979106100000005,0.0,0,0,0.0,0.0,0.0,1.0111645463,0.9957581574000001,0.0333052277,0.0448430493,0.6099333737
5,1,5,10761,2641,125,14,7158,5642,0.2117910031,1.2841370834,71120.1634503567,96919.3908066062,85718.5791348406,0.170306319,0.7338073719,-0.0009728880000000001,0.024355175000000003,0.010422535200000001,11.0209359224,15.0188405636,9755.4325787431,10054.2592093359,8915.1978055961,7343,0.6823715268,90.0987057695,91918.1834426632,0.15810424820000002,0.33333333330000003,0.6666666667000001,486510.6415953637,480446.2388276054,0.03,0.0,3824.7245160393,1117.2373778787,0.0,444429.054298508,0.12530266340000001,0.1538461538,0.6141232478,0.0593758265,0.0,0,0,0.5,0.0,-0.5,1.0051314041,0.9921466934000001,0.0470968649,0.053452115800000005,0.8061381074
6,1,6,10890,2642,142,13,6913,5373,0.22276869670000002,1.2359684215,80284.1508137222,105423.2771281307,98130.3029678947,0.181861786,0.7615410278,0.0377941909,0.1288521696,0.0119877335,11.9803778009,15.7317562209,9815.9495914688,9382.1442649226,8352.6791112132,4475,0.4109274564,88.5650777561,104957.1459360952,0.1741786118,0.33333333330000003,0.6666666667000001,494970.4611474626,491043.7033618458,0.03,4533.061766482,4181.048302778,1257.1075994915,0.0,444429.054298508,0.184067592,0.20512820510000002,0.6134109245,0.0592514218,0.0,0,0,0.5,0.0,-0.5,1.0109060867,1.0074145118,0.0567974132,0.0691964286,0.8571428571
7,1,7,11013,2629,138,15,7042,5170,0.26583357,1.071766371,87838.3331798123,112054.2966396239,113661.4439341637,0.22719323160000002,0.7838908084,0.0293480979,0.0940930718,0.0112947658,11.4606546633,14.620218199,9885.1158613126,9024.8212317678,8652.7719852821,6443,0.5850358667000001,87.0869935262,114868.0249637157,0.184563792,0.0,0.6666666667000001,504891.5107164328,494970.4611474585,0.0300367569,0.0,4691.1446115574,1421.3620410796,0.0,444429.054298508,0.23607748180000002,0.0666666667,0.6130739712000001,0.0596797671,0.0,0,0,0.8,0.0,-0.8,1.0122812705,1.0009581498,0.0751477625,0.0731707317,1.0
8,1,8,11109,2617,119,23,7151,5051,0.2936652216,0.9094649372,95076.8412881625,115480.8961948974,127875.6221439452,0.256489707,0.8233122917,0.0502895082,0.0824071661,0.0087169709,10.9230585818,13.2672118375,9952.1079660169,8767.5916959478,8554.5665015645,7501,0.6752182915,81.8546313544,123526.4461107433,0.1924822554,0.0,0.6666666667000001,515568.5537805619,504891.5107164338,0.03,0.0,5221.8664239081,1681.1948864246,0.0,444429.054298508,0.307364577,0.0410958904,0.6119719242,0.059859621200000004,0.0,0,0,0.7142857143,0.0,-0.7142857143,1.0009199411,1.0028178343,0.0973376532,0.0973451327,0.9987357775000001
9,1,9,11191,2615,111,29,7204,5030,0.3017767907,0.7872537273,108563.9689305818,121454.3315587265,147711.7476276572,0.2650282007,0.8938665879000001,0.0856956673,0.1418550244,0.0073814025,11.0928173198,12.4099250051,10000.5426372967,8665.0004918671,8071.3855099239,8104,0.7241533375,74.6209062104,137356.8364655565,0.20113269450000001,0.33333333330000003,0.6666666667000001,543223.0700622932,523952.5972614216,0.03,8384.0434808605,6377.0102340736,2029.7483240617,0.0,444429.054298508,0.3920489297,0.014084507000000001,0.6106839873000001,0.06004772,0.0,0,0,0.5384615385,0.0,-0.5384615385,1.0083495135,1.0195582561,0.13115216470000002,0.1236203091,0.9987878788000001
10,1,10,11256,2603,115,50,7204,5189,0.279705719,0.8044689831,114853.4855988394,124427.2938239056,151480.8796957674,0.2417954937,0.9230570084,0.0326563504,0.0579337393,0.0058082388000000006,11.6087970386,12.5764681197,10041.3343453082,9036.3415941373,7872.2800096737,7864,0.6986496091000001,72.1180843986,146852.5237364471,0.20473757350000002,0.0,0.6666666667000001,568133.9353031657,566207.6256562063,0.039635659000000004,22984.5555939161,6091.6093764786,2155.0362958528,0.0,444429.054298508,0.3591160221,0.0147058824,0.6107489690000001,0.0603964347,0.0,0,0,0.7333333333000001,0.0,-0.7333333333000001,1.0045863981,1.0187022468,0.146821464,0.1475770925,0.9928909953
