year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
1,10414.0,2634.0833333333335,912,159,7083.0,5869.083333333333,0.17178497153333336,1.1646126944166666,1366479.6406500805,1625360.1831448912,1593598.1625862487,0.14174608448333334,0.9277956554000001,-0.0005790132454545457,0.03129568813636364,0.0060936631545454555,12.163904202108334,14.667385458658332,115125.7689183684,129728.859701932,102703.8299338713,8145.0,0.7851994648333335,86.38759859317501,123009.5624543071,0.11379064241666666,0.1111111111,0.4722222222333334,712330.21529846,705412.1624207242,0.013050857075,125073.0512305993,213014.133491438,262452.4331268168,49438.2996353788,497396.8643905436,0.3644683167916667,0.17358565365833334,0.9480001765583334,0.35331022689166663,0.0,0.0,0.0,0.0,0.0,0.0,1.0140312911583333,0.9905772935333333,0.0021826684583333335,3.1175958333333336e-05,0.71962117,,,,0.17178497153333336
2,11075.166666666666,2512.5,934,273,7051.916666666667,5751.5,0.184408598,1.028483082225,2292993.9287403314,2134603.416119455,2722402.9469150337,0.1548275627,1.1680436846,0.019457701358333333,0.032225219391666664,0.0049841557,17.597417043391665,16.413129156158334,119101.9327124867,119286.4880862827,104641.99916786,9186.333333333334,0.8273363710916667,76.16197114715833,153454.3891823462,0.12652570570833335,0.0,0.38888888886666667,1083909.7331201104,1040602.3132676319,0.010101607308333333,267312.5057038285,360490.6286129546,487176.8945508605,129950.7888447957,608618.9408774024,0.4805849460166667,0.2871397829416667,0.9372115380166667,0.3604212461166667,0.0,0.0,0.0,0.0,0.0,0.0,0.993506527925,0.9980731246166666,0.0022121608333333337,3.062599166666667e-05,0.8434351626166667,0.2589449819059799,0.678030071234341,0.06348825299276606,0.184408598
3,11903.666666666666,2434.8333333333335,996,114,7057.75,5292.166666666667,0.25015655248333335,0.8994894316750001,2999146.707676204,2159699.820000616,3882470.7739332845,0.22296015800833335,1.5855367235,0.02580611816666667,0.028036558583333333,0.006222374,24.507380691483334,17.649040733899998,124658.3405463882,139346.2353258338,121398.24489481631,11189.166666666666,0.9410067978166667,87.82145364715,226408.6672128101,0.110991154225,0.0,0.2222222222,1855694.8759920278,1824961.5918635833,0.01,270401.5265613403,494687.3866469673,871110.6305658425,376423.2439188751,1037478.0164090506,0.57196749315,0.08037229743333334,0.9281953125416668,0.37270209001666665,0.0,0.0,0.0,0.0,0.0,0.0,0.9581071550833333,1.001319993075,0.0024551099,0.0,0.6438309835,0.35742930200677536,0.307961032990524,0.07480700064709334,0.25015655248333335
4,12777.416666666666,2343.6666666666665,980,103,7095.75,5080.75,0.284034137525,0.8362218170750001,4480949.6868395405,2468513.1125530177,6034326.605584291,0.25806646377500003,2.0147620264,0.020191157933333332,0.032288363741666666,0.005757932566666666,33.57737879520833,18.511175030058332,131121.8623638474,150460.3892390003,128535.2208284433,12007.333333333334,0.9387111195333334,86.58657927783334,398731.3072586311,0.111728385025,0.0,0.24999999998333336,3055851.698885369,2961497.5626439187,0.01,635586.4279002962,751137.1611693827,1428813.6321983226,677676.4710289398,1708493.3360616858,0.6959398842166666,0.03465851966666667,0.9258827840916667,0.3869982594916667,0.0,0.0,0.0,0.0,0.0,0.0,0.8597765833166667,0.9724993893750001,0.002364272516666667,2.1373e-05,0.5643218292250001,0.2707129368486054,0.49407485648191773,0.07340175296127249,0.284034137525
5,13637.166666666666,2276.5833333333335,990,119,7130.25,5078.666666666667,0.28774723878333336,0.8325102811916666,6145583.379372118,2739283.0790668684,8324978.6359301265,0.26191423710833334,2.4404917615,0.016133387175,0.026729528983333334,0.005349963658333334,45.645274506475005,20.353414991866668,137714.7118590588,163545.0125360349,137102.9073112416,13417.833333333334,0.98363960925,85.157984253375,688169.2903821105,0.11012431560833334,0.0,0.27777777776666673,4922854.085926632,5007455.423207128,0.01,1179749.7954590581,1003903.7463665623,2219991.577785935,1216087.8314193725,2946215.667174676,0.6128895992166666,0.015796375208333335,0.9262244128166667,0.5118807347083334,0.0,0.0,0.0,0.0,0.0,0.0,0.8293157353500001,0.9164638658416667,0.0027594099249999998,0.0,0.44421419629166664,0.21130522092512272,0.37149127057185516,0.06728668418890105,0.28774723878333336
6,14546.583333333334,2218.9166666666665,1040,124,7144.083333333333,5564.916666666667,0.22106098000833332,0.939368197675,8510273.451398076,3163649.1991932034,10530815.28353896,0.192809305725,2.8090772184,0.011840788525,0.025647316183333334,0.005279416683333334,60.89386149099167,22.650441949716665,144834.8293504059,172206.2065269237,144737.37239400198,14438.25,0.9925535130666666,84.68909822860833,986032.0132514406,0.11628174525000001,0.0,0.13888888887500003,7518212.243663304,7692488.343517639,0.01,1791022.2902332572,1326198.3225619332,2804898.0328392303,1478699.710277297,4446586.650160717,0.7300663924916667,0.010732029408333335,0.9274640381833333,0.5105816120500001,0.0,0.0,0.0,0.0,0.0,0.0,0.8801037693916668,0.9500892971333333,0.002870669641666667,0.0,0.4842269852666667,0.15102917482231382,0.3847787794992954,0.06668662845410234,0.22106098000833332
7,15413.833333333334,2145.5833333333335,984,131,7111.583333333333,6211.166666666667,0.12670074155,1.2030155241166667,11038163.693969822,3686845.983127238,12151921.503400711,0.09502667516666667,3.2984404214,0.013607414733333335,0.033208522075000003,0.004631887666666667,81.786798400625,27.372732100708333,151928.7678227679,172649.4084466683,149946.0535055423,14521.166666666666,0.9429296454083334,83.92501715705833,1463663.5384033304,0.11742748004999999,0.0,0.16666666665000002,10657428.47186113,11055335.1453656,0.0179200273,2553240.214899068,1521713.2106338171,3038927.9251215,1517214.7144876828,6066405.33685084,0.48646204968333334,0.021719183708333336,0.9286028614583334,0.5166319899,0.0,0.0,0.0,0.0,0.0,0.0,0.949368394825,1.0063803305666668,0.003031650741666667,0.0,0.379784156025,0.1742078145074033,0.2970398374398253,0.05961881083186782,0.12670074155
8,16299.333333333334,2066.8333333333335,1023,197,7165.25,6956.333333333333,0.02918665281666667,1.5728897010166667,17177337.951122418,4539957.653599642,17261552.454148397,0.005656889716666666,4.2255349961,0.02086924119166667,0.028368409525,0.004252585283333333,131.1949101076,34.556417832466664,159401.2091620484,157074.2038148477,143842.6709845155,13329.75,0.8183699241333334,78.852679178725,2034097.456790585,0.11709544640833335,0.0,0.1111111111,15069417.528401433,14923273.835324613,0.030893879725,4681466.7244666545,2203174.2864159215,3641237.6453485065,1438063.3589325845,7537713.225935248,0.0934955985,0.006652393875,0.930151483825,0.52404143685,0.0,0.0,0.0,0.0,0.0,0.0,1.0045130811,1.0831556860333333,0.0028540795,0.0,0.29771082625,0.2810705837477281,0.5561771348350673,0.05744839592141249,0.02918665281666667
9,16701.166666666668,1953.1666666666667,997,874,6435.333333333333,6377.083333333333,0.011043548041666669,2.1935088935833336,15716298.965671632,3422045.118330556,15788013.19760823,0.004595575233333334,4.8836563018,0.012467432741666666,-0.0011630404666666642,0.00061468155,260.872035189225,56.59968726779999,162979.8555767526,113555.9284976599,105012.881581043,9406.583333333334,0.5631995418500001,56.318466811533334,3427873.8095637634,0.1204337746,0.0,0.30555555553333336,20960799.64490078,25454219.382624764,0.01,8368932.340152938,1237526.8774071038,5262202.072971077,4024675.195563973,11791359.03507828,0.25343742665833335,0.02659814051666667,0.9310877506666667,0.5313271655166667,0.0,0.0,0.0,0.0,0.0,0.0,0.9808418365500001,1.1084134293583332,0.0033655747833333336,0.0,0.15091951715833332,0.15574863450602572,-0.08505619378323503,0.024653360055626017,0.011043548041666669
10,17084.0,1866.25,951,271,5430.0,5361.25,0.013892094466666666,2.5649596121583333,23585878.335137118,3973400.3552079466,23605096.12535684,0.0009167076833333333,7.400681253,0.03579622499166667,0.008537106641666667,0.0033198780500000003,494.07655251594997,81.53477132345,165723.9847811501,174578.197891437,155087.0669152812,15299.416666666666,0.8947010020166667,78.54166201256666,2874763.984221883,0.10153351080833334,0.05555555555,0.36111111110000005,29357323.37236609,28084333.414676826,0.047144030525,13839128.660695078,1697596.8161174443,7997276.413637344,6299679.5975199,17828404.851492174,0.22469511311666668,0.50563027265,0.9322804184916667,0.5371544336083334,0.0,0.0,0.0,0.0,0.0,0.0,0.8906820242000001,1.090019023275,0.0030067037,0.0,0.06858611085833334,0.5153976438252388,0.5007272632478317,0.0229225503208359,0.013892094466666666
