period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,10058,2674,67,9,7227,6579,0.0896637609,0.9369043505,111587.320930854,116555.8761524135,118287.9029448893,0.056646384300000005,0.9573719028000001,,,,10.7676596043,11.2471021691,9400.4045876011,16249.1317037749,9400.3714304008,9991,0.9933386359,95.5280808172,46367.1746718623,0.0874038837,0.0,0.0,484315.7864613478,415778.4869709854,0.028761314000000003,0.0,15744.0436485121,21778.8195649237,6034.7759164117,425545.9280234135,0.063893912,0.10270270270000001,0.9545273764000001,0.35052366430000004,0.0,0,0,0.0,0,0.0,1.0144232048,0.9903785013,0.0010206165,0.0,0.23534635880000002
2,1,2,10116,2664,74,16,7227,6291,0.1295143213,0.8951052014,113806.3339656486,118519.1716767775,126163.0317000161,0.0979423019,0.9602356510000001,0.0029912599000000003,0.019885888600000002,0.005766554,10.8248683012,11.273137266300001,9433.0687789012,15374.9840775266,9433.0301809066,10042,0.9926848557000001,95.2406392623,46515.1683498701,0.0858785886,0.0,0.0,495481.7859684016,484297.9696419194,0.0150948447,0.0,15512.1614880261,24834.4906134948,9322.3291254687,434636.3749883961,0.0668674699,0.0948509485,0.9534482759,0.350265252,0.0,0,0,0.0,0,0.0,1.0361167525,0.996661287,0.0024494795000000002,0.0,0.3826745164
3,1,3,10156,2646,48,8,7213,5909,0.1807846943,1.1089213633,87351.5859270841,106545.0495188386,102896.3690416035,0.15107222210000001,0.8198558856,-0.1461930363,-0.2324540921,0.0039541321,10.9855719456,13.399393892199999,9462.1262523227,14994.712896577,9462.1106984783,10108,0.9952737298000001,95.2313964024,43607.0101210168,0.079299165,0.0,0.33333333330000003,503275.18758571,498274.8967047692,0.01,2809.530613874,12085.6243356331,20948.9455551839,8863.3212195508,440073.1590555541,0.0816696915,0.1607629428,0.9517753047,0.3502914679,0.0,0,0,0.0,0,0.0,1.0144339813,0.9910386088,0.0030587276,0.0,0.2669342699
4,1,4,10235,2644,83,4,6606,5244,0.20617620350000002,1.4210325858,75423.9683775662,103297.166913584,91688.0166616372,0.1773846668,0.7301649274,-0.10939844400000001,-0.1365472352,0.007778653000000001,12.6935753837,17.3845317788,9484.818048454,14095.5934504253,9484.814157497,10152,0.9918905716,94.7664261048,43842.7487154235,0.0784193165,0.0,0.6666666667000001,510669.2917954819,509459.7136856536,0.01,6207.0724816962,12903.5445235146,14681.3953418784,1777.8508183638,442668.9300617991,0.09872804360000001,0.15833333330000002,0.9503771338,0.35040359930000003,0.0,0,0,0.0,0,0.0,1.009475598,1.001537238,0.0024444897,0.0,0.38156797330000003
5,1,5,10311,2644,82,6,7085,5803,0.18094565980000002,1.4253154799,84745.7318135562,118762.6589214937,99846.4047996862,0.1512390257,0.7135722001,-0.0227246293,0.12359152720000001,0.0074255007000000005,11.0572441114,15.4956206397,9530.9138079289,10159.8399333374,9530.9052388622,10229,0.9920473281000001,94.507134356,53495.3495980669,0.0921647913,0.0,0.6666666667000001,523424.4824604569,510661.8365058533,0.01,0.0,13986.0125057339,16741.0243513034,2755.0118455695,446506.4098895875,0.1476997579,0.2011331445,0.9492264974,0.35105117020000004,0.0,0,0,0.0,0,0.0,1.0216296498,0.9943876967,0.0022412388000000003,0.0,0.7297639123
6,1,6,10387,2646,82,6,6958,5683,0.18324231100000002,1.4417368201,95542.8045698061,132426.902472239,112883.9160654278,0.1536189751,0.7214757937,0.0110760952,0.127405505,0.007370769100000001,11.712233699,16.2337167803,9574.2253331324,9417.6972137695,8865.3518836733,6498,0.6255896794,94.231224024,64886.7659420833,0.1067076477,0.0,0.6666666667000001,540113.0890778766,541132.7726785409,0.01,17721.2078811791,15022.8333659814,16425.6002250643,1402.7668590829,452536.3475440101,0.1787439614,0.265129683,0.9482166446,0.351651255,0.0,0,0,0.0,0,0.0,1.002146844,1.0091426644000001,0.0022412388000000003,0.0,0.7690695725000001
7,1,7,10465,2634,87,9,7150,5915,0.17272727270000002,1.2942003529,104472.8209918936,139208.9907753482,121865.823607577,0.1427225624,0.7504746670000001,0.040193827,0.0934661324,0.0075093867000000005,11.3408677949,15.1115930943,9617.3992572235,8941.32198852,8638.2718640408,5094,0.4867654085,93.9157518559,75781.4130607088,0.11883587840000001,0.33333333330000003,0.6666666667000001,557316.0931351457,546872.7930274162,0.01,6759.7039495396,15738.2387182763,17717.8215584177,1979.5828401414,457767.3927308964,0.27327690450000003,0.3081570997,0.9476675036000001,0.3532443505,0.0,0,0,0.0,0,0.0,0.9790542502,0.9990125069,0.0018389865,0.0003741115,0.9319349315000001
8,1,8,10544,2621,93,14,7105,5817,0.18128078820000001,1.1650139487,123473.3620285279,153569.0320302782,145534.381796501,0.151586309,0.8040251371,0.07135546670000001,0.1818706613,0.0075489728,12.3094610084,15.3097962251,9660.5805090492,8317.744099954,8182.2804297503,6156,0.5838391502,79.4649513577,90170.1178211794,0.13205524030000002,0.33333333330000003,0.6666666667000001,589484.3695482999,580880.3997721393,0.01,23564.3066369935,19342.1880261367,21749.749483881,2407.5614577443,466947.8275233564,0.4290048544,0.225,0.9464922711,0.3542079535,0.0,0,0,0.0,0,0.0,1.0112473253,0.9929451648000001,0.0024549918,0.0,0.9978448276
9,1,9,10598,2618,75,21,7127,5804,0.18563210330000002,1.0825687783,134782.3911484162,157775.8175399351,159712.8373802111,0.1560954438,0.8542652052,0.0624856933,0.0915908414,0.0051213961,12.7030044387,14.8700946277,9702.391119185,8237.2977147045,7775.8951767748,7576,0.7148518588,77.4637047574,104057.8605997907,0.1419141528,0.33333333330000003,0.6666666667000001,626326.5625842882,609172.3306166963,0.022754126200000002,19687.9610683963,22412.6812912475,24970.9838963122,2558.3026050647,477199.4374848732,0.5675182482000001,0.0858085809,0.9451348493,0.3556319408,0.0,0,0,0.0,0,0.0,1.0209572269,0.9836081743,0.0024620435000000003,0.0,0.9874161074000001
10,1,10,10644,2608,64,18,7171,5909,0.17598661270000002,1.0657687331,142730.12752271,160797.2985747864,167150.8924368025,0.1461001168,0.8876400834,0.0390685211,0.058967171500000005,0.0043404416,13.0023849632,14.6482625175,9728.2982661266,8189.1504973167,7470.8062711081,7129,0.6697670049000001,76.4132556816,115645.5830908488,0.1493251327,0.33333333330000003,0.6666666667000001,655484.2896707953,630579.631123686,0.01,4253.0685393978,24093.4245187708,26416.5849124827,2323.1603937119,484895.849226968,0.7487864078,0.1438356164,0.9445473796,0.3564055056,0.0,0,0,0.0,0,0.0,1.0163600817,0.9730273899,0.0012338063,0.0,0.9804469274000001
