year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,central_bank_monetary_gap_share,average_bank_reserve_ratio,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,recession_flag,recession_intensity,government_countercyclical_spending,government_countercyclical_support_multiplier,government_countercyclical_procurement_multiplier,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate,inflation_yoy,gdp_growth_yoy,population_growth_yoy,avg_unemployment_rate
1,5035.0,1311.4166666666667,128,69,3492.3333333333335,3019.1666666666665,0.13561958873333332,1.082433129725,677028.5537555957,892096.9774282794,729417.333239393,0.06947507735833335,0.8648029025,0.007502482718181819,0.02570897283636364,0.0009580877636363637,10.55313253045,14.119695661883334,56545.4850095998,66226.0726736955,52515.2623314613,3862.9166666666665,0.7676328040583335,91.46880406856667,65590.9514907986,0.15431940619166667,0.05555555555,0.3055555555416667,273633.3204191735,274730.1972928722,0.0107754209,27319.2872308409,-0.0080377098,0.1988307321666667,77200.6946272185,59346.8028235294,0.0,188299.2561664365,0.5833333333333334,0.22275411620833332,8979.419386751,1.2227541162083335,1.3118557626916667,0.85687976905,0.005001669675,0.10388579193333335,0.0,0.034232769350000004,0.0,0.2979414679166667,0.14071121955000002,0.8721267654583333,0.19420748326666668,0.0155681727,0.0,0.0,0.437870925375,0.0,-0.437870925375,1.0080999459083333,0.9639758565666666,0.053657872475,0.056548063950000005,0.8781058759000001,,,,0.13561958873333332
2,5073.083333333333,1289.75,110,77,3548.3333333333335,2636.8333333333335,0.25685784675,0.7802716850250001,912467.1362904347,923483.2699951445,1133522.5972114028,0.19223678994166668,1.1021725272,0.020480388441666667,0.013956325841666667,0.0005423179166666667,13.145260922483333,13.273538253633333,56779.2082313556,61396.1265108858,53860.9573897131,3964.3333333333335,0.7813533409083334,88.0959512124,182473.2267342779,0.236258675425,0.0,0.05555555555,477946.4805142367,459558.8400933272,0.0,32481.768312686603,-0.036163698875000004,0.19915148940000002,100228.2689928842,202646.1274131607,102417.8584202761,278497.8707661789,1.0,0.9128045489166667,88928.57175722059,1.9128045489166665,2.277926368475,0.8561454542916667,0.008093711225,0.14583867192500002,0.0,-0.010077837483333333,0.11060010263333335,0.300317283375,0.0,0.86097876075,0.19703903575,0.014612209608333334,0.0,0.0,0.8416805955250001,0.0,-0.8416805955250001,0.9658575830833334,0.9476745978583333,0.192522441875,0.21416025595000002,0.7698752602000001,0.27447829327792994,0.3477528107622936,0.007563720622310477,0.25685784675
3,5113.833333333333,1266.0833333333333,86,47,3570.5,2408.25,0.32550796510833335,0.7166277787333334,1104513.1147340687,889497.5804082836,1507306.989410269,0.26685648381666666,1.3633363133,0.01793057191666667,0.014384551575000001,0.0006362282166666667,18.031994449708332,14.485977948283335,57127.0830259106,62685.850633540496,55688.5373258018,3881.1666666666665,0.7589454210666667,91.65053513779999,421996.9784903784,0.32133927555833336,0.0,0.05555555555,742902.2645292499,724262.0720301663,0.0,45475.5395275797,-0.026887987708333335,0.1990099805,109783.91530487529,337323.8004783642,227539.88517348882,505803.2993756689,1.0,1.0,155523.629011201,2.0,2.4,0.8571707158666667,0.015147766333333335,0.13418059349166667,0.0,-0.006499075716666667,0.20547569785,0.14964477968333334,0.0,0.8541402280166667,0.19879004089166666,0.012477194133333334,0.0,0.0,0.8969063821166667,0.0,-0.8969063821166667,0.9437918174666667,0.9621825351416667,0.30187331307500004,0.32508443959166666,0.5839711508833334,0.23695363444003648,0.21046892628306835,0.008032590305041332,0.32550796510833335
4,5154.0,1248.25,103,44,3583.5,2416.5833333333335,0.32564338495833334,0.7725896951166668,1165732.110192743,823031.8684333352,1591468.8298702012,0.26700367928333335,1.3466100725999999,-0.0008211037583333337,-0.012022576966666665,0.0009534504,22.759461650749998,16.086882092,57484.0606757593,67011.4581957592,56922.2981238137,4520.833333333333,0.8769609941000001,92.34930161466667,748990.769667854,0.39918832650833336,0.0,0.0,971907.0486693255,955526.8475635828,0.0,118549.6199371289,-0.0032921118333333332,0.19851670629166665,84580.8012122844,384516.1527606728,299935.3515483883,802624.7418603606,1.0,1.0,175075.5955270412,2.0,2.4,0.892812292325,0.010332272933333332,0.10831463020833333,0.0,-0.011459195458333335,0.2581940562916667,0.31522861758333337,0.00505050505,0.8501546523583334,0.21464146630833333,0.12537184843333335,0.0,0.0,0.8697561733833333,0.0,-0.8697561733833333,0.9303798582666668,0.9729861839250001,0.30878153862499996,0.3136281238333333,0.62455672335,-0.012268609393608632,0.05542622775775152,0.007854512270638603,0.32564338495833334
5,5227.916666666667,1219.5833333333333,111,47,3595.6666666666665,2423.3333333333335,0.32603922683333336,0.7943271787333334,1174128.3487318228,799122.6022325648,1604362.7179565222,0.267433942225,1.7726386238,0.02358557744166667,0.024633388066666668,0.00102196295,24.910101151008334,17.0522322663,58115.8741295739,63657.556025508704,56088.3984140653,4050.5,0.7751376406916667,91.81905217294167,1114423.1135324538,0.4658191355833334,0.0,0.0,1181343.0840008287,1176588.3667074724,0.0,115117.9701767676,-0.0014196740916666666,0.19889964724166667,75139.28204095899,395762.1589337249,320622.876892766,1129904.1318246708,1.0,1.0,180324.0235069701,2.0,2.4,0.9037831216000001,0.007683234583333334,0.09087428840833334,0.0,-0.002340644575,0.273637769925,0.48619410066666663,0.018462823733333335,0.8493294451666666,0.3619806729833333,0.251396109425,0.0,0.0,0.8136822854500001,0.021832191583333337,-0.256111954675,0.9355271331166667,0.9736933796750001,0.32954846315833336,0.38863743977500004,0.7396777800916667,0.3163711306402419,0.0072025454782158604,0.014341611693183376,0.32603922683333336
6,5288.5,1189.6666666666667,139,57,3603.6666666666665,2372.6666666666665,0.3416068583333334,0.724019758575,1550855.9957751352,834796.8821089099,2166706.6251568897,0.28435528079166666,1.9475190631000001,0.007988376533333334,0.018444718766666666,0.001291821475,30.566908667433335,16.447920710158332,58629.0128295483,64503.275421085404,56951.243206071,4004.75,0.7568467261416667,91.15943232230832,1562816.0277008289,0.49405937382500004,0.0,0.0,1542466.3284014375,1519648.3804788617,0.0005611331666666667,171830.2748409853,-0.005815425716666667,0.19880161122499998,120825.6010753986,550413.540247507,429587.93917210854,1557456.7366159612,1.0,1.0,252581.0979782106,2.0,2.4,0.8853814888166668,0.009961735291666668,0.11288590533333333,0.0,-0.00822912945,0.277219398025,0.4270649662333334,0.04182311222499999,0.8494977275250001,0.3630976344416667,0.1671814623,0.0,0.0,0.8026124944333334,0.072367475025,0.011958629125,0.9324432558666667,0.9397464912583334,0.3328770258,0.4009125441416667,0.6725932256916667,0.09865543769158625,0.32085729592528467,0.011588427512552846,0.3416068583333334
7,5415.666666666667,1175.0,196,43,3621.6666666666665,2632.4166666666665,0.2731959380416667,0.9156441741083334,1798998.1623832749,918385.0316981613,2276050.960316314,0.20999558484166667,2.0393733465,0.003964479733333334,0.012509699658333333,0.0023589822083333336,37.50733146898333,19.157316724675,59547.3941401867,66834.76244272,58522.7728744706,4774.5,0.8817159870666668,91.817612181,2131724.68179778,0.5199049947666666,0.0,0.0,1810897.4057427533,1802588.3591552656,0.0,347307.7756466801,0.018713083316666667,0.1974223403916667,117646.0343625177,487193.6673572525,369547.6329947347,1928473.0707390613,1.0,1.0,214382.1392460876,2.0,2.4,0.9038681296416667,0.007765611333333334,0.099393301325,0.0,-0.011027042308333334,0.20706302705833335,0.40333785293333335,0.03691642164166666,0.8510090900500001,0.36551961451666665,0.18320433271666667,0.0,0.0,0.892432230925,0.1691956314916667,-0.016713341908333335,0.9633825004083333,0.9528151707416667,0.1768541466,0.22748670168333332,0.5666316586333333,0.04716476728797159,0.16000335768384177,0.024045885726891703,0.2731959380416667
8,5572.416666666667,1142.3333333333333,222,66,3633.6666666666665,2919.9166666666665,0.1964135212,1.2881947010583332,1939207.2446044357,1040841.9364741351,2222378.334494926,0.1265364361,1.9086904925,-0.0047120366,0.00425654365,0.00233901765,45.623035172625,24.566698127541667,60748.446230628004,67680.4755162469,58775.1047992553,4685.0,0.8409546849666668,90.04736149475,2778348.9513657885,0.570619403675,0.0,0.0,1818337.0122548616,1943871.320904806,0.0,280309.160395163,0.020334808591666666,0.198524529375,99179.779743333,313496.6085909667,214316.8288476338,2142044.5009925785,1.0,0.8147355921583334,116828.5032223197,1.8147355921583335,2.140629829033333,0.9222262691166666,0.008696219916666666,0.07496945915833333,0.0,-0.005891948175000001,0.1107378308,0.45113005265833334,0.0014367816083333334,0.8535886223416668,0.3713270630666667,0.16428534183333335,0.0,0.0,0.9018314670833334,0.2651878358083333,-0.022959125474999998,1.00916669865,1.0143692408916667,0.15093702723333333,0.1816805486916667,0.6599601497833334,-0.06407990681268827,0.07793731264039461,0.02894380501015581,0.1964135212
9,5701.083333333333,1085.5,320,264,3503.4166666666665,3258.25,0.06856422076666667,2.0008701125833332,2020332.878612228,1067301.9392028672,2057091.8776217864,0.019351998491666668,2.1234188004,0.009346622266666667,0.0191815718,0.0008257411750000001,65.64050898770833,34.42872885144167,61605.2011744843,52518.111192320604,47736.5793681354,3401.5,0.5970472723666667,62.27448719711666,3417881.1721979887,0.6408991252416667,0.0,0.0,1657545.8547284764,1684746.1156733725,0.007342950599999999,299211.2176268049,0.031089342258333333,0.19803495495,65448.626342310105,152926.6589331224,87478.0325908121,2245690.279244036,0.4166666666666667,0.12737876224166667,15523.1033503596,1.1273787622416667,1.1783302671333333,0.9496255673583334,0.008950743116666668,0.05078296188333334,0.0,-0.009359272375,0.046412647700000004,0.22695568114166667,0.21549151141666667,0.8558702611833334,0.38427959835833336,0.018895853008333335,0.0,0.0,0.9479078527416668,0.3757271099083333,-0.009485924025,1.0797835651916667,1.0852436013,0.14088634746666667,0.125961386775,0.56856546465,0.11250032875615656,0.041834432206002026,0.02308992208646754,0.06856422076666667
10,5465.916666666667,975.9166666666666,273,648,2895.0833333333335,2605.9166666666665,0.10200218354166667,2.331344890075,2933326.4424402774,1110243.9318155572,3107347.0525828465,0.05220694714166666,3.0026260832,0.02990090726666667,0.006957933041666665,-0.005649969033333334,136.099552970975,51.28328022714167,58689.7043890085,31852.8711407042,29470.8974627464,2252.5833333333335,0.41509267806666666,41.79883162524167,3391124.2466010167,0.6147987271166667,0.0,0.0,1613748.5395154792,1620346.0921721717,0.0,345165.0488206247,0.03806319890833334,0.19734824838333334,69863.0740755267,267626.8712850747,197763.7972095481,2444151.6973166526,0.25,0.09690278681666668,16787.2832195784,1.0969027868166668,1.13566390155,0.9677166665166667,0.0031896249,0.034642671858333335,0.0,-0.005548963266666666,0.067995929725,0.16249269531666666,0.24632717650000002,0.85671019575,0.39590612178333334,0.06746498550833334,0.0,0.0,0.9952955273583334,0.475230377825,0.0038891913833333336,1.0981882543083332,1.0900709372166666,0.024004420341666666,0.021496297425,0.5147399552999999,0.41405269776945497,0.45190254214700865,-0.04124947012994595,0.10200218354166667
