period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,median_wage,median_wage.1,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_writeoffs,bank_nonperforming_loan_share,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,central_bank_monetary_gap_share,average_bank_reserve_ratio,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,recession_flag,recession_intensity,government_countercyclical_spending,government_countercyclical_support_multiplier,government_countercyclical_procurement_multiplier,household_final_consumption_share_gdp,government_final_consumption_share_gdp,gross_capital_formation_share_gdp,net_exports_share_gdp,gdp_expenditure_gap_share_gdp,government_deficit_share_gdp,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,5006,1328,9,3,3543,3452,0.0256844482,0.9785073463,55992.543282182,68697.0092570537,55992.543282182,0.0,0.8150652246000001,,,,9.7780442804,9.7542195943,9.7542195943,11.9966402501,4695.4030736933,8159.3783317131,4692.2913208325,4984,0.9956052737000001,95.8553615036,23770.7560933325,0.0,0.0,0.0956963443,0.0,0.0,224749.937014662,202414.4726938884,0.0175446952,0.0,-0.1103451943,0.2,5896.3202107131,3877.1810453376,0.0,188299.2561664365,0,0.0,0.0,1.0,1.0,0.8783616611,0.007479313400000001,0.3423490765,0,-0.228190051,0.0,0.11162790700000001,0.1855670103,0.8776167472,0.19216317770000002,0.0,0,0,0.0,0.0,0.0,1.0138429687,0.9843920432000001,0.0036544850000000003,0.0041899441,0.8665158371
2,1,2,5012,1324,11,5,3540,3417,0.0347457627,0.9743491934,58631.3871025683,72245.1121902447,58631.3871025683,0.0,0.8115619912,-0.004298102000000001,0.047128486500000004,0.0011985617000000001,9.8763245836,9.7734154851,9.7734154851,12.1695257921,4699.4379981669,7950.833933121,4688.4468449318,4963,0.9902234637,95.7471239734,29488.6497929943,0.0,0.0,0.11502010030000001,0.33333333330000003,0.33333333330000003,227056.5083259183,231156.3500114613,0.0119023604,3843.8477980796,0.0177362278,0.19922399030000001,5914.6229916369,3929.0918175856,0.0,188299.2561664365,0,0.0,0.0,1.0,1.0,0.8697608827000001,0.0051569603,0.5026549152,0,-0.3775727581,0.0,0.1380510441,0.1666666667,0.8769809294,0.1920494225,0.0,0,0,0.0,0.0,0.0,1.0051063785,0.9783691472,0.0099734043,0.0111888112,0.6306666667
3,1,3,5018,1319,9,3,3445,3169,0.0801161103,1.2476503867,48848.0704026244,71012.9595865751,48854.2361420252,0.0001262069,0.6878754341000001,-0.1524055567,-0.1668614233,0.0011971269,10.4678490508,9.826872769,9.826872769,15.2176521093,4702.7060625339,7530.1997314322,4684.8680877854,4942,0.9848545237,95.6890744539,29660.5033695976,1027.500301633,0.0,0.1138385085,0.0,0.33333333330000003,228944.6699351825,253470.3017905848,0.0,11352.8254162959,0.0967593903,0.19657775200000002,5346.0938444518,2907.7571433941,0.0,188299.2561664365,0,0.0,0.0,1.0,1.0,0.8608620979,0.0064815148,0.1359853103,0,-0.0033289231,0.0,0.198156682,0.21505376340000001,0.8758047210000001,0.1925965665,0.0,0,0,0.0,0.0,0.0,1.0141854567,0.9704720989000001,0.0186046512,0.0194986072,0.6558295964
4,1,4,5020,1312,9,7,3238,2753,0.1497838172,1.4075799665,42794.0236804491,67551.2189549889,46306.460146426,0.0758519752,0.633504833,-0.0790413474,-0.1239362512,0.0003985652,11.5595042474,9.7736707006,9.7736707006,18.2469077518,4707.75336243,6551.63101018,4682.133215581,4909,0.9778884462,95.590922215,35783.2279839868,1823.1009008903,0.0,0.13380860190000002,0.33333333330000003,0.33333333330000003,230322.9008003846,228944.6699351825,0.0169466981,0.0,-0.0060199299,0.1977755388,5154.9746574316,2679.0278166339,0.0,188299.2561664365,0,0.0,0.0,1.0,1.0,0.8485968097000001,0.006163935000000001,-0.3486766529,0,0.49391590820000003,0.0,0.21469575200000002,0.1888888889,0.8757380569000001,0.193236715,0.0,0,0,0.0,0.0,0.0,1.0077683626,0.9746486455000001,0.0269461078,0.0291666667,0.7380952381
5,1,5,5025,1307,15,10,3516,2816,0.19908987490000002,1.2238200755,43913.0039015347,68097.5340544957,50442.5681748481,0.1294455161,0.6448545386,0.0179157364,0.0261480488,0.0009960159000000001,10.0894471077,9.6996714891,9.6996714891,15.646082184499999,4708.0508596382,4896.331504055,4551.5509637177,4173,0.8304477612000001,95.2667056691,40030.7702146416,136.1164370531,0.0,0.1460937711,0.0,0.6666666667000001,232867.180175788,230322.9008003846,0.0,0.0,-0.0110465758,0.1985541002,5311.0111905996,3936.5695618333,0.0,188299.2561664365,0,0.0,0.0,1.0,1.0,0.854527825,0.0062397730000000005,-0.0297531073,0,0.1689855093,0.0,0.2274285714,0.2674418605,0.8748321246,0.19392962660000002,0.0240963855,0,0,0.0,0.0,0.0,0.9789028412,0.9682980664,0.0489836721,0.0457063712,0.8553948832
6,1,6,5034,1304,15,6,3489,2829,0.1891659501,1.1516150215,48150.9813202405,70256.507841474,54633.7475857949,0.1186586414,0.6853597311,0.0628129137,0.0965084836,0.0017910448000000002,10.3862860276,9.657691808,9.657691808,15.1545028934,4709.277466476,4559.3674543971,4178.6142589755,2108,0.4187524831,94.9603666662,44706.0554409757,640.1995965208,0.0073907006,0.1590323605,0.0,0.6666666667000001,235488.5460688185,232867.180175788,0.0,0.0,-0.0112569143,0.19906016510000002,5383.2240490413,4877.514946957,0.0,188299.2561664365,1,0.23344368710000002,708.1771056093,1.2334436871,1.3268211619999999,0.8585954706000001,0.0059690222,0.0035372367000000003,0,0.1318982706,0.0,0.24655963300000003,0.25882352940000003,0.8737577223,0.19392962660000002,0.0241935484,0,0,1.0,0.0,-1.0,0.9948373823000001,0.9603554151,0.0603132289,0.0706371191,0.889
7,1,7,5043,1309,11,2,3518,2970,0.15577032400000002,1.118184876,52524.8575316798,73919.1663929178,57239.0077079911,0.08235904790000001,0.7105715621,0.0367862742,0.0908366993,0.0017878427,10.1202808364,9.5380811166,9.5380811166,14.2424512554,4713.6643931946,4481.0094150848,4253.1198106126,2514,0.49851279,95.0486000067,48708.8417542471,370.022281169,0.0247697636,0.1679166746,0.0,0.33333333330000003,240423.6133666365,238323.3237794269,0.0180812635,1700.866626365,-0.008812774,0.1990560565,5788.117175709,5708.8339203558,0.0,188299.2561664365,1,0.5781648966,1665.3193731466,1.5781648966000001,1.8094308552,0.8608137556000001,0.0048328174,0.0179049067,0,0.11644852030000001,0.0,0.29757785470000003,0.2345679012,0.8726882873,0.1945859019,0.0909090909,0,0,0.25,0.0,-0.25,0.9821049744,0.947952926,0.0485856905,0.0578512397,0.9556603774
8,1,8,5046,1309,10,7,3541,3021,0.146851172,1.0164625462,57503.2482797245,76067.7215582456,62009.0969830599,0.0726643174,0.7559480829,0.0638591849,0.0947816135,0.0005948840000000001,9.9487895654,9.5589395575,9.5589395575,13.1606783467,4720.1551081748,4304.0816043356,4149.2212536131,2843,0.5634165676,87.4657260176,53265.1324403906,413.9684345017,0.030507777000000003,0.1779415705,0.0,0.33333333330000003,245086.2224457403,243412.271857883,0.009080562,1793.1950947479,-0.0068770181,0.1990426478,6426.8600252042,6288.8577956664,0.0,188299.2561664365,1,0.5970890499,1917.7240996761,1.5970890499000001,1.8359246699,0.8597503133000001,0.0025288126000000003,0.0530365984,0,0.0846842756,0.0,0.3499420626,0.0909090909,0.8698795181000001,0.19518072290000002,0.0476190476,0,0,0.5714285714,0.0,-0.5714285714,1.0192364323,0.9677152828000001,0.045575515600000005,0.0384087791,0.9972702457
9,1,9,5050,1310,15,11,3514,3023,0.13972680710000002,1.0115846206,63562.5999350991,80588.2840409983,67975.6063771694,0.06492044250000001,0.7887325148000001,0.043368629000000006,0.10537407600000001,0.0007927071000000001,10.577117042,9.7581894136,9.7581894136,13.4102713449,4721.0724069797,4333.9861060098,4245.5722531847,3443,0.6817821782,89.1545343948,55192.1677450349,1467.663652272,0.0,0.18025147900000002,0.0,0.33333333330000003,250013.4536828192,245086.2224457403,0.0305828027,0.0,-0.0201040727,0.19937772110000002,7534.4255724856,5730.5565993297,0.0,188299.2561664365,1,0.4319554847,1351.9764176739,1.4319554847,1.6047376786,0.8514916575,0.0024755184,0.10913124760000001,0,0.0369015765,0.0,0.3667054715,0.0526315789,0.8687382802,0.1955531744,0.0,0,0,0.7777777778,0.0,-0.7777777778,1.0083788703,0.9675773819000001,0.0602730603,0.057534246600000005,0.9901079137000001
10,1,10,5055,1307,10,5,3501,2972,0.1510996858,0.9727255248000001,65948.7390782689,80612.5363470741,71472.2788263721,0.0772822672,0.8180953245,0.0372278423,0.037539986500000004,0.0009900990000000001,10.9311115061,10.2417790048,10.2417790048,13.361659918299999,4721.1642505851,4420.551414246,4088.4226124797,3846,0.7608308605,85.7030258407,57695.0669060922,529.0539621438,0.0043142927,0.18301531470000001,0.0,0.0,256385.5203671603,253117.0413642589,0.0175793695,1862.1526088638,-0.0129129156,0.1992521975,7798.7953307167,5810.8632654147,0.0,188299.2561664365,1,0.2756717046,966.6800439855,1.2756717046000001,1.3859403864,0.8487446487,0.0026510335000000003,0.14696260460000002,0,0.0016417133,0.0,0.4369158879,0.013698630100000001,0.8677021960000001,0.1957686127,0.0,0,0,0.9,0.0,-0.9,1.0316602195,0.9463998216,0.0849150849,0.09712722300000001,0.9869036483
