period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,810,223,11,1,595,546,0.0823529412,0.9240618943000001,10136.1119716604,10449.9841530592,10162.1020023569,0.0025575448,0.969964339,,,,10.5212708104,10.8470697192,755.8151687158,1297.2410534921,753.9051767197,795,0.9814814815,95.2191650628,5496.295494248,0.1092124337,0.33333333330000003,0.33333333330000003,44891.8255672758,40821.7569853239,0.043761314,0.0,943.446377142,450.792343678,0.0,41726.1244066166,0.078125,0.25,0.8727858293,0.1900161031,0.0,0,0,0.0,0,0.0,1.0612311232,0.9353555782,0.0059642147000000005,0.0084745763,0.0995260664
2,1,2,825,221,15,0,597,546,0.0854271357,0.9143667456000001,9716.9889783554,9978.7324399787,9774.6502316336,0.0058990605,0.9737698687,0.0039233708,-0.041349483400000005,0.0185185185,10.5494614695,10.8336289796,760.8663528043,1328.466638106,757.1360397171,803,0.9733333333,94.0939718583,7042.8437950072,0.13484507910000001,0.33333333330000003,0.33333333330000003,45224.7754454741,44850.7295490097,0.0427940194,0.0,827.5892719818,429.4586344256,0.0,41726.1244066166,0.0625,0.0625,0.8715890851,0.1894060995,0.0,0,0,0.0,0,0.0,1.0699945927,0.9377701472000001,0.013861386100000001,0.016949152500000002,0.0917030568
3,1,3,835,219,11,1,597,534,0.10552763820000001,1.1563109466000001,7813.4649013924,9386.2346830739,8036.4559221737,0.027747432800000003,0.8324386898,-0.1451381723,-0.1958964944,0.0121212121,10.6479046114,12.7912178306,769.3594045272,1266.0682806029,763.7252162423,812,0.9724550898000001,93.8278788824,8858.0689506682,0.1622514284,0.33333333330000003,0.33333333330000003,45346.7728799944,50601.5618776307,0.0446116505,2255.1101386628,698.4663724419,326.8393178919,0.0,41726.1244066166,0.0859375,0.0,0.8715890851,0.1894060995,0.0,0,0,0.0,0,0.0,1.1038634743,0.9627485231,0.013861386100000001,0.0254237288,0.1152815013
4,1,4,846,220,13,2,551,468,0.1506352087,1.2671509554,7090.2482536022,8698.8423667326,7679.8902664872,0.0767774008,0.8150795192,-0.020853392300000002,-0.09256029900000001,0.0131736527,12.4467470229,15.2705922921,775.0066589191,1181.1957362871,765.8916804829,813,0.9609929078,92.8880260399,9976.0303344234,0.17884196100000002,0.33333333330000003,0.33333333330000003,45517.7360001027,45346.6966742538,0.0362809215,0.0,635.2592410752,232.9279724568,0.0,41726.1244066166,0.109375,0.1333333333,0.8697749196000001,0.191318328,0.0,0,0,0.0,0,0.0,1.085259337,0.9412817675,0.0218687873,0.0420168067,0.1931034483
5,1,5,851,219,6,1,594,520,0.12457912460000001,1.2563578304,6888.4380824417,8395.9711496007,7239.2185447937,0.0484555702,0.8204456590000001,0.006583578200000001,-0.0284630614,0.0059101655,11.0832419391,13.5088068515,780.5505740662,836.8613605136,685.4493011133,369,0.4336075206,92.9492279233,11198.6146905257,0.19334103760000002,0.33333333330000003,0.33333333330000003,46444.4896415816,45517.6996158868,0.0243383376,0.0,585.9223582952,306.5677487938,0.0,41726.1244066166,0.21705426360000002,0.1538461538,0.8695652174,0.1948470209,0.0,0,0,0.0,0,0.0,1.0497115443,0.9068830785,0.024,0.0826446281,0.4705882353
6,1,6,859,218,8,0,593,508,0.1433389545,1.0993219413,7418.9173283184,8351.1673558637,7967.449877239,0.0688466896,0.8883688965000001,0.0827882222,0.0770100913,0.0094007051,11.5844069073,13.0400861096,783.0764926231,746.5179500323,664.9567008175,253,0.29452852150000003,92.2459792491,12861.3216673247,0.21247391270000002,0.33333333330000003,0.33333333330000003,47394.2297658708,46444.4802606339,0.0192784105,0.0,577.0938857783,373.5830820704,0.0,41726.1244066166,0.3100775194,0.1666666667,0.8681672026,0.19614147910000002,0.0,0,0,0.0,0,0.0,0.9990693183,0.9081589210000001,0.034,0.0901639344,0.7532467532
7,1,7,868,217,9,0,595,521,0.12436974790000001,1.0521323047,7988.8994778059,8781.8907414787,8393.7112747619,0.048227986800000004,0.9097015339000001,0.0240132646,0.07682821150000001,0.0104772992,11.7373227948,12.9023887042,787.7789230617,719.5421383159,681.2112285411,343,0.3951612903,91.5201764288,14476.4049529344,0.22636284180000002,0.33333333330000003,0.33333333330000003,48971.0842276982,49768.3840453029,0.0673916398,2374.1542794321,639.2630905143,421.0107031954,0.0,41726.1244066166,0.3615384615,0.0,0.8681672026,0.1993569132,0.0,0,0,0.0,0,0.0,0.9680203911,0.9695000937,0.048192771100000004,0.0806451613,0.9054054054
8,1,8,877,217,9,0,576,492,0.1458333333,0.9466255416,8090.5131896052,8424.9161254393,8714.0746939748,0.071557971,0.9603078617,0.0556295949,0.012719362900000001,0.0103686636,12.4380433221,12.952141514000001,793.1800139797,683.3816886546,673.0301773501,283,0.322690992,91.3371939103,15035.3377101109,0.2290456777,0.0,0.33333333330000003,50212.0241729508,48971.0842276982,0.030387404000000003,0.0,619.4404728415,478.15803494,0.0,41726.1244066166,0.4108527132,0.0,0.8683788122,0.19903691810000002,0.0,0,0,0.0,0,0.0,0.9761352961,0.924650265,0.052104208400000004,0.0887096774,0.9246231156
9,1,9,883,217,9,3,589,476,0.1918505942,0.8647035086,8121.6564680043,8216.3258167933,9245.7210228618,0.1215767329,0.9884778974,0.02933438,0.0038493576,0.0068415051,12.2958041113,12.4391290319,798.4737881748,653.261818273,628.9380946531,325,0.3680634202,77.5652332673,15516.7714557386,0.23002764350000002,0.0,0.33333333330000003,51397.3029017727,50212.0140022218,0.0463033796,0.0,557.0414231737,660.4200190193,103.3785958456,41726.1244066166,0.488372093,0.1,0.8677419355,0.1967741935,0.0,0,0,0.0,0,0.0,0.9617802966000001,0.9127606096,0.0763052209,0.1393442623,0.9211822660000001
10,1,10,898,217,15,0,594,478,0.19528619530000002,0.7499897413000001,8949.6393178849,8203.6888968076,10231.7968502881,0.1253110818,1.0909286579,0.10364496840000001,0.1019475341,0.0169875425,12.3952759018,11.3621324477,800.8886213532,625.0464200344,598.906418691,339,0.3775055679,77.6911158311,16460.8109198329,0.2337679709,0.0,0.33333333330000003,53451.6451792891,53915.2813856359,0.01,2517.9784838632,731.8642032054,750.5219164431,18.6577132377,41726.1244066166,0.5658914729,0.0,0.8677419355,0.2,0.0,0,0,0.0,0,0.0,0.9586356222,0.9408649059,0.0786290323,0.1451612903,0.9326923077
