period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,810,223,11,1,595,546,0.0823529412,0.9240618943000001,10298.6337113157,10617.5384982237,10325.0404644216,0.0025575448,0.969964339,,,,10.5212708104,10.8470697192,755.8151687158,1297.2410534921,753.0808376636,795,0.9814814815,95.0901613223,5106.7682788955,0.10290894510000001,0.33333333330000003,0.33333333330000003,44587.4093061071,40821.7569853239,0.0672438929,0.0,529.1972547625,143.6587364775,0.0,43460.0786486823,0.078125,0.1875,0.8727858293,0.1900161031,0.0,0,0,0.0,0,0.0,1.0612311232,0.9353555782,0.0059642147000000005,0.0084745763,0.0995260664
2,1,2,827,221,17,0,597,546,0.0854271357,0.9140989377000001,9897.3872934431,10169.5548541994,9956.1190422174,0.0058990605,0.9732370232,0.0033740253,-0.038961131100000004,0.020987654300000002,10.5507450405,10.8408792402,760.8663528043,1333.6820213596,755.0981097129,802,0.9697702539,93.5019905761,6660.4409193061,0.1291693571,0.33333333330000003,0.33333333330000003,44952.6827769529,44543.5918901299,0.066112999,0.0,463.9865957876,117.4956349392,0.0,43460.0786486823,0.0546875,0.0,0.8715890851,0.1894060995,0.0,0,0,0.0,0,0.0,1.0699902705,0.9377854863,0.0158415842,0.016949152500000002,0.1014492754
3,1,3,836,219,10,1,596,533,0.105704698,1.1565564351,7914.1729557854,9529.0934470479,8141.6497469349,0.0279398891,0.8305273739,-0.146634012,-0.2003775622,0.0108827086,10.6616440564,12.8371976555,770.3418698689,1275.8570922113,759.1189399949,810,0.9688995215,93.0894899127,8365.8269570154,0.15448471760000002,0.33333333330000003,0.33333333330000003,45421.6698479257,49639.8355989879,0.0672804552,2181.9494268728,393.2131118544,85.6104502222,0.0,43460.0786486823,0.1328125,0.0,0.8713826367,0.18971061090000002,0.0,0,0,0.0,0,0.0,1.1028700414000001,0.9619155645,0.0178571429,0.0423728814,0.1253731343
4,1,4,848,220,13,1,545,473,0.13211009170000002,1.3196554019,7360.7687527042,9186.8237918779,7802.7261154459,0.0566414041,0.8012310805,-0.0352743261,-0.06992571510000001,0.014354067000000002,12.4854906697,15.5828836078,775.1843885998,1191.7757336169,759.2932488009,811,0.9563679245000001,91.8542304565,9152.7195123717,0.16612088830000002,0.33333333330000003,0.33333333330000003,45672.8105563123,45421.6448339386,0.0586324037,0.0,361.5661196092,61.445719098,0.0,43460.0786486823,0.15625,0.0666666667,0.8697749196000001,0.18971061090000002,0.0,0,0,0.0,0,0.0,1.0983186023,0.9275915768,0.0257936508,0.0677966102,0.27018633540000003
5,1,5,855,219,11,4,592,504,0.14864864860000002,1.2404150423,6865.7000256711,8459.0755146287,7419.3152023443,0.0746180964,0.8116371599000001,0.0129876133,-0.0672577476,0.008254717,11.1339492866,13.7178900096,781.5829750192,841.4045132925,673.8382763025,366,0.42807017540000003,90.5964396888,11099.2606081196,0.19184540930000002,0.33333333330000003,0.33333333330000003,46455.2975132219,45672.7909623358,0.0511413971,0.0,325.532002463,88.0929845909,0.0,43460.0786486823,0.20155038760000002,0.1428571429,0.8705501618,0.1909385113,0.0,0,0,0.0,0,0.0,1.1389039441,0.9317379203,0.034,0.093220339,0.3556701031
6,1,6,865,218,10,0,581,471,0.1893287435,1.0249485671,7827.6390537123,8592.418709272,8883.2900785357,0.1188355908,0.91099367,0.12241493490000001,0.1401079314,0.0116959064,12.1658927004,13.3545304449,784.1719701167,745.629137401,658.3068626801,289,0.3341040462,89.6006989497,13025.5806221642,0.21400967640000002,0.33333333330000003,0.33333333330000003,47514.9714654604,49091.4755669645,0.0391442718,2636.1780537426,352.4787308966,99.4291674454,0.0,43460.0786486823,0.2790697674,0.0,0.8691437803000001,0.1954765751,0.0,0,0,0.0,0,0.0,0.9933135305,0.9098147833,0.0381526104,0.0909090909,0.46801346800000004
7,1,7,878,217,13,0,589,484,0.1782682513,1.0507621726,7254.4641852841,8499.8967266104,8122.0021750449,0.1068133166,0.8534767443,-0.0631364712,-0.0732244888,0.0150289017,11.62033584,13.6152928798,790.0450669329,740.0448208975,670.2538166773,340,0.3872437358,88.5953214686,13513.0027301479,0.21328411320000001,0.0,0.33333333330000003,49447.1272296734,47514.9714654604,0.10764685500000001,0.0,356.1349924093,115.2555009343,0.0,43460.0786486823,0.33076923080000004,0.1,0.8691437803000001,0.197092084,0.0,0,0,1.0,0,-1.0,1.0306580896,0.946162998,0.042253521100000004,0.1147540984,0.8965517241000001
8,1,8,887,217,10,1,584,464,0.20547945210000002,0.8173014614,8331.7669410522,8254.0050915513,9647.6115131218,0.1363907088,1.0094211051,0.1827165905,0.1485020435,0.0102505695,12.410734715,12.2949031403,797.6381170598,686.9112752738,675.0202556311,374,0.4216459977,87.4205519828,14051.6606107459,0.2161333839,0.33333333330000003,0.33333333330000003,50542.0390274388,49447.1272296734,0.03,0.0,350.3231038046,135.5324291863,0.0,43460.0786486823,0.33333333330000003,0.0,0.8675282714,0.1954765751,0.0,0,0,1.0,0,-1.0,1.0624104361,0.9484415573,0.062248996,0.0909090909,0.9437500000000001
9,1,9,887,216,2,2,589,458,0.2224108659,0.7482719454000001,8425.0534043835,7817.335300277,9968.052268051,0.1547944194,1.0777398027,0.0676810672,0.011196480200000001,0.0,12.6144177508,11.7045113476,802.6482828193,662.193404065,634.9231102462,421,0.4746335964,76.425384889,15812.7889004075,0.2314068598,0.33333333330000003,0.33333333330000003,52110.0819528983,50542.0390274387,0.1498525457,0.0,351.5412628307,188.6277075467,0.0,43460.0786486823,0.3178294574,0.1,0.8670988655,0.1961102107,0.0,0,0,1.0,0,-1.0,1.0425687055,0.9604242140000001,0.1633064516,0.1983471074,0.9310344828
10,1,10,884,215,3,6,592,447,0.2449324324,0.685952687,9503.5726365834,8069.2526319415,11579.4760644045,0.17927438310000002,1.1777512826,0.0927974262,0.1280133407,-0.0033821871,13.449331148,11.41950032,802.1373294756,632.7767807976,631.9695996943,436,0.4932126697,79.6277225266,17324.6294876119,0.2367550678,0.0,0.33333333330000003,55574.0561167796,55843.2086913756,0.051057269100000004,3733.1267384773,460.6051836448,188.0440572194,0.0,43460.0786486823,0.33333333330000003,0.0,0.8674304419000001,0.1963993453,0.0,0,0,1.0,0,-1.0,1.0579461699,1.024807411,0.13441955190000002,0.1333333333,0.8977272727000001
