period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,810,223,11,1,595,546,0.0823529412,0.9240618943000001,10002.8843776209,10312.6310683306,10028.532799102,0.0025575448,0.969964339,,,,10.5212708104,10.8470697192,755.8151687158,1297.2410534921,755.6642598148,799,0.9864197531000001,95.3184465502,6005.0576528482,0.1153299233,0.33333333330000003,0.33333333330000003,46110.4540065451,40821.7569853239,0.028761314000000003,0.0,1445.0520233221,1678.8521463149,233.8001229928,41321.3139298405,0.078125,0.1875,0.8727858293,0.1900161031,0,0,0,0,0,0,1.0612311232,0.9353555782,0.0,0,0.0995260664
2,1,2,823,221,14,1,596,545,0.0855704698,0.9143455584,9578.7117434989,9823.7016936778,9637.0627948538,0.0060548585,0.9750613406,0.005254834,-0.042405032200000005,0.0160493827,10.5695318987,10.8398635637,760.8663528043,1324.2319432182,760.7090719497,809,0.9829890644,94.4719079194,7349.1229876729,0.13620225560000002,0.33333333330000003,0.33333333330000003,46654.3783260473,46078.7800575879,0.028143129200000002,0.0,1273.7294019929,1697.9669863921,424.2375843992,41574.2288929105,0.0625,0.1875,0.8713826367,0.18971061090000002,0,0,0,0,0,0,1.069720561,0.9379310436,0.003968254,0,0.079245283
3,1,3,834,218,12,1,595,529,0.1109243697,1.1474694526,7569.0294944206,9080.8448068216,7832.3000855309,0.033613445400000004,0.8335160060000001,-0.14516556930000002,-0.20980715390000002,0.0133657351,10.6622884297,12.7919420299,768.0257969694,1263.5047683433,767.9491317663,822,0.9856115108000001,94.0793646853,8638.8910671421,0.1545860215,0.33333333330000003,0.33333333330000003,46849.0541332459,53816.2887852217,0.031278815200000004,2435.6506099167,1073.6163470368,1390.8871260367,317.2707789999,41691.3866169543,0.078125,0.1875,0.8711755233,0.1900161031,0,0,0,0,0,0,1.1143885039,0.9543758124,0.0,0,0.0929095355
4,1,4,842,219,8,0,544,468,0.1397058824,1.2750822111,6931.651969389,8492.9557635045,7412.7204650423,0.0648976982,0.8161648503000001,-0.0208168236,-0.0842086195,0.0095923261,12.4822967773,15.2938426258,773.965303292,1177.6139610583,773.965303292,834,0.9904988124,94.0340267539,9469.590363508,0.1663661725,0.33333333330000003,0.33333333330000003,47130.8890609595,46836.5894642254,0.021015248400000002,0.0,998.4973706284,989.9838786279,0.0,41691.3866169543,0.0703125,0.2142857143,0.8697749196000001,0.19292604500000002,0,0,0,0,0,0,1.1010296678,0.9289275669,0.0019920319,0,0.1961722488
5,1,5,855,219,13,0,594,518,0.1279461279,1.3709209051,6708.4566422497,8577.0922449973,7077.2922506884,0.0521153565,0.7821364689,-0.0416930248,-0.032199442200000004,0.015439429900000001,11.1297446533,14.2299267396,778.7818983032,831.5060108284,690.6810735971,361,0.4222222222,93.171890456,11273.3175235999,0.1865520109,0.33333333330000003,0.33333333330000003,48769.3095667839,47130.818285655,0.013834843400000001,0.0,876.8896280012,1263.4429875738,386.5533595726,42597.8774966313,0.1395348837,0.2307692308,0.8697749196000001,0.1945337621,0,0,0,0,0,0,1.0113318438,0.8817472432000001,0.0,0,0.32603938730000004
6,1,6,870,218,15,0,575,474,0.1756521739,1.079870785,7543.094936038,8452.1459084544,8418.3485678567,0.10396975430000001,0.8924473167,0.1410378522,0.12441584380000001,0.0175438596,12.3370966315,13.8238934682,786.0591470298,742.1911772105,675.4577900554,250,0.28735632180000004,92.4168299916,11882.623698755,0.18961186030000002,0.0,0.33333333330000003,50470.6799930387,51227.9109897894,0.01,2331.231279402,888.8658441165,1427.4879412007,538.6220970843,43480.1434456837,0.1782945736,0.0909090909,0.8683788122,0.1974317817,0,0,0,0,0,0,0.9697635732000001,0.9490397747,0.002,0,0.4402515723
7,1,7,880,217,10,0,595,498,0.1630252101,1.0898073713,6713.3437477753,7682.2403928437,7379.2858785787,0.0902447936,0.8738783746000001,-0.0208067655,-0.1100014245,0.0114942529,11.3767259362,13.0186605676,794.6358419666,742.6110059923,690.4583967713,295,0.3352272727,92.3757563449,11906.3343778813,0.1838144186,0.0,0.0,52576.1746614572,50470.6799930387,0.0895211187,0.0,728.395501408,1877.0973383884,1148.7018369805,44477.6706608174,0.18461538460000002,0.1,0.8683788122,0.19903691810000002,0,0,0,0,0,0,0.9993022357,0.9287892545,0.0,0,0.8631578947
8,1,8,891,217,11,0,598,503,0.1588628763,0.8655958824000001,7698.6189768471,7776.1271225353,8420.4219011972,0.0857205177,0.9900325516,0.1329180128,0.1467637091,0.0125,11.177352568,11.289883903,800.5398033823,675.2923774466,701.895264365,337,0.3782267116,91.8698357101,11943.6421251058,0.1773715139,0.0,0.0,55139.3206883026,52576.1746614572,0.01,0.0,830.5370850489,2109.0687118777,1278.5316268288,45862.1790912009,0.16279069770000001,0.2,0.8669871795,0.1987179487,0,0,0,0,0,0,0.9909785712,0.9263616811000001,0.002,0,0.9027777778
9,1,9,903,217,12,0,596,510,0.14429530200000001,0.8728613366,8247.863597904,8016.6733410087,8867.5854274563,0.06988619780000001,1.0288386775,0.0391968181,0.07134326590000001,0.0134680135,12.4070542585,12.0592805559,807.0055240013,665.9052019557,645.2143023675,367,0.40642303430000004,75.2271145427,12183.6240110898,0.1710370417,0.0,0.0,58838.3410541397,56923.0911572883,0.0902507253,1783.7704689857,852.5383275824,2479.0271276399,1626.4888000574,48125.5241622616,0.2480620155,0.2,0.8669871795,0.1987179487,0,0,0,0,0,0,0.9400385665000001,0.9646985863,0.0,0,0.8791666667
10,1,10,912,217,9,0,598,514,0.1404682274,0.7581445279,9301.5089780194,7838.1746673827,9955.8719442552,0.0657263342,1.186693251,0.1534298593,0.12774767280000002,0.0099667774,13.3607318931,11.2587915047,813.9243404597,615.6082888655,568.7191256889,366,0.4013157895,72.101300365,11847.2885044257,0.15610455280000002,0.0,0.0,63497.6732823451,58838.3410541397,0.012012590200000001,0.0,1052.7290747243,3116.9149566134,2064.1858818891,51577.56146652,0.2248062016,0.2,0.8669871795,0.1987179487,0,0,0,0,0,0,0.9587658166,0.9441928321,0.0,0,0.8487084871
