period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,808,224,10,2,595,537,0.09747899160000001,0.9380074020000001,9939.8543866548,10427.9380076228,10517.8282287839,0.0549518237,0.9531946181000001,,,,10.5033152501,11.0190668839,755.8151687158,1299.9625138457,753.9574406106,794,0.9826732673,95.3504135728,5229.5012212978,0.10265798920000001,0.33333333330000003,0.33333333330000003,45745.3245311962,42401.7604865009,0.043761314,0.0,830.4783297104,453.2501824126,0.0,43326.1413409857,0.09375000000000001,0.1739130435,0.885483871,0.28870967740000003,0.0,0,0,0.0,0,0.0,1.0115148394,0.9497558955000001,0.0022675737,0.0167597765,0.11261261260000001
2,1,2,819,222,11,0,597,537,0.10050251260000001,0.9333813980000001,9506.8299076334,9962.3770117237,10093.4384904815,0.0581178142,0.9542732519,0.0011315987,-0.0435644691,0.0136138614,10.5247323987,11.0290552289,759.3841964631,1329.1331660429,755.6315454393,801,0.978021978,94.6140701974,6894.2258705557,0.1298525369,0.33333333330000003,0.33333333330000003,46234.0246442966,45730.0547320707,0.0302728791,0.0,748.164321886,442.8393124974,0.0,43326.1413409857,0.078125,0.13636363640000002,0.8826366559000001,0.2893890675,0.0,0,0,0.0,0,0.0,1.0390417127,0.9555747541,0.0113122172,0.022222222200000002,0.10416666670000001
3,1,3,828,220,10,1,597,523,0.12395309880000001,1.2629312303,7412.3175078454,9424.1709565565,8080.3473084808,0.0826734019,0.7865219702,-0.175789567,-0.2203165956,0.010989011,10.6214125202,13.5042795029,765.6843925106,1256.4303970689,760.5235136853,808,0.9758454106000001,94.1349412628,8917.1015927861,0.1597296612,0.33333333330000003,0.33333333330000003,46626.1748768678,51753.5850822097,0.0299931295,2156.9029457776,645.8797645024,306.3576992181,0.0,43326.1413409857,0.1023622047,0.0454545455,0.8826366559000001,0.2893890675,0.0,0,0,0.0,0,0.0,1.0094916511,0.9835257242000001,0.0090497738,0.0277777778,0.1203007519
4,1,4,837,221,9,0,558,471,0.1559139785,1.1103751117,7589.1660839659,8646.6217544899,8586.3921751265,0.1161402916,0.8777030266,0.1159294463,0.0238587427,0.0108695652,12.1759787203,13.8725495424,770.5921373709,1134.6111032458,760.8096213165,809,0.9665471924000001,93.5190021228,9595.6747545783,0.16906518110000002,0.33333333330000003,0.6666666667000001,46921.6581064567,46626.1547569175,0.023012006800000002,0.0,628.0023181085,262.5278507048,0.0,43326.1413409857,0.17322834650000002,0.0909090909,0.8812199037,0.2889245586,0.0,0,0,0.0,0,0.0,0.9932658571,0.9977113006,0.0203160271,0.0555555556,0.2744063325
5,1,5,846,221,10,1,597,505,0.1541038526,1.1040338277,6703.4619043067,7824.3688093127,7568.0757481424,0.11424487180000001,0.8567415555000001,-0.0238821908,-0.1167063904,0.0107526882,10.9309445762,12.7587421274,775.8197896011,817.8568487091,676.7237720624,348,0.4113475177,92.8161732645,11440.3053043441,0.1916715357,0.33333333330000003,0.6666666667000001,47992.2203495923,46921.6181070468,0.1010756835,0.0,529.675840271,355.6150235865,0.0,43326.1413409857,0.21875000000000003,0.0454545455,0.8810289389,0.2893890675,0.0,0,0,0.0,0,0.0,1.0073891833,0.9729397429000001,0.036199095,0.0833333333,0.4388059701
6,1,6,853,220,7,0,585,501,0.1435897436,1.0780717519,7472.506645907,8437.2389465172,8332.7398211619,0.1032353336,0.8856578193,0.033751443,0.1147235194,0.0082742317,11.6019743323,13.0998384253,780.5669821764,735.0225713891,648.2849165629,187,0.2192262603,92.6454279317,12488.7700087839,0.2007102916,0.33333333330000003,0.33333333330000003,49488.1867043578,52970.8416347328,0.01,2690.5866808725,624.3872707259,385.7509882079,0.0,43326.1413409857,0.3828125,0.2105263158,0.8796147673,0.2937399679,0.0,0,0,0.0,0,0.0,1.036205708,0.9818856808,0.0363636364,0.0655737705,0.6236559140000001
7,1,7,861,219,8,0,598,503,0.1588628763,0.9424127444,7514.1463889202,8137.6523314861,8531.3198036748,0.1192281427,0.9233801203,0.0425924101,0.0055723929000000005,0.0093786635,11.0657048718,11.9839106651,784.7966099949,686.1212103154,655.9587485209,234,0.2717770035,91.8442079774,14331.8263879075,0.221634364,0.33333333330000003,0.6666666667000001,50126.1164958788,49488.1695856703,0.019007079700000002,0.0,615.3649533639,496.4283941001,0.0,43326.1413409857,0.4186046512,0.2222222222,0.8796147673,0.2953451043,0.0,0,0,0.0,0,0.0,1.0791470525,0.9640808426,0.0592255125,0.0869565217,0.8925233645
8,1,8,871,219,11,1,599,508,0.1519198664,0.8113468077,7891.1856500438,7749.6576698493,8886.0497936601,0.1119579753,1.0182624815,0.1027554732,0.0501772579,0.0116144019,11.0886471801,10.8897729034,789.5945109604,669.6995126579,656.6026970366,257,0.29506314580000004,90.8794194921,15792.8208243539,0.2320250278,0.33333333330000003,0.6666666667000001,52002.337480618,50126.1118742248,0.022614822700000002,0.0,566.1068575386,555.0612874451,0.0,43326.1413409857,0.484375,0.0555555556,0.8780096308,0.2937399679,0.0,0,0,0.0,0,0.0,1.0980312854,0.9934574626,0.059090909100000005,0.0710382514,0.8285714286
9,1,9,873,219,7,5,593,479,0.1922428331,0.7448929379,9144.0230129888,8132.715233925,10810.8505064734,0.154180977,1.1243505705,0.1041854049,0.15876414760000002,0.0022962113,12.6906185893,11.287065549,795.0772562609,619.3829831371,597.3182726308,349,0.3997709049,79.634194158,17928.641421664,0.24797087680000002,0.33333333330000003,0.6666666667000001,54149.011292641,53573.0457182216,0.06883337440000001,1570.7082376036,786.273295775,732.283959354,0.0,43326.1413409857,0.59375,0.1111111111,0.8770226537,0.2928802589,0.025,0,0,0.0,0,0.0,1.0936012548,0.9918585223,0.1075514874,0.0994475138,0.8305084746
10,1,10,881,219,9,1,592,470,0.2060810811,0.6838061963000001,9609.6523714902,7596.814588584,11559.3894994589,0.1686712891,1.2649581294,0.1250566884,0.0509217177,0.009163803,14.0714574966,11.1240500135,794.4569975411,593.1092459909,569.1729011243,305,0.3461975028,72.4889532433,19054.2974777533,0.2471697224,0.0,0.6666666667000001,57793.6162172441,55424.9905049173,0.047780269300000004,1275.9792122763,816.2418031951,898.9779380858,82.7361348907,43326.1413409857,0.484375,0.1111111111,0.8770226537,0.2928802589,0.0,0,0,0.0,0,0.0,1.0748473429,0.9992125541,0.1006864989,0.10497237570000001,0.8319327731
