period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,819,224,19,0,596,548,0.0805369128,0.9293148587000001,9422.5867783477,9834.0839423478,9735.5267041979,0.0321441187,0.9581560249000001,,,,10.4699401214,10.9271766285,755.8151687158,1298.7311496175,753.0725681562,796,0.9719169719,94.1869642152,4736.5989812978,0.10582545950000001,0.33333333330000003,0.33333333330000003,40061.9697511151,35837.0310872475,0.0672438929,0.0,427.6129869847,133.3400221201,0.0,38160.4118980327,0.09375000000000001,0.1666666667,0.6334405145,0.0675241158,0.0,0,0,0.0,0,0.0,0.9462284925000001,1.0302459134,0.006896551700000001,0.0,0.09644670050000001
2,1,2,837,222,18,0,598,548,0.0836120401,0.9202896068,9135.8998237002,9490.4387573316,9470.9939595695,0.0353810949,0.9626425139,0.0046824201,-0.0304255043,0.021978022,10.5148408407,10.9228926507,766.4220275625,1335.0532397717,760.8245022055,812,0.9701314217,93.0989938774,6470.8988544979,0.1384656588,0.33333333330000003,0.33333333330000003,40303.9584047869,40044.0758307147,0.0590653649,0.0,381.2663668579,121.436966822,0.0,38160.4118980327,0.0703125,0.0,0.6330128205000001,0.0673076923,0.0,0,0,0.0,0,0.0,0.9490524555000001,1.0320422773,0.0137457045,0.0238095238,0.09223300970000001
3,1,3,847,219,11,1,597,526,0.11892797320000001,1.3052361524,6343.6223637979,8297.6557564487,6839.8962426387,0.07255576130000001,0.7645077779,-0.2058237957,-0.30563792440000004,0.0119474313,10.584714669,13.845136669,776.531860774,1283.9886162887,768.5830396926,825,0.974025974,92.8521243786,8264.9295563538,0.16720270950000002,0.33333333330000003,0.33333333330000003,40680.9020942331,44262.1538002841,0.0612571804,2162.739212909,285.4260402335,93.8524099618,0.0,38160.4118980327,0.09375000000000001,0.0,0.6340288925,0.0674157303,0.0,0,0,0.0,0,0.0,0.9346030932,0.9224035306,0.0189328744,0.0238095238,0.0707317073
4,1,4,854,220,8,1,536,485,0.0951492537,1.5573053341,6001.0521229089,8149.6061397379,6300.4860638871,0.0475255302,0.7363609995,-0.0368168633,-0.054002306800000004,0.0082644628,12.4864277888,16.9569379647,781.9468664862,1196.4413228251,770.9449867856,832,0.9742388759,92.5274755724,10387.4042698079,0.20010625740000001,0.33333333330000003,0.33333333330000003,41131.279032288,42350.4849707094,0.048476453100000004,1669.5990010088,319.6843438081,58.984390629,0.0,38160.4118980327,0.1484375,0.33333333330000003,0.6340288925,0.0674157303,0.0,0,0,0.0,0,0.0,0.9579433481,0.9328513774,0.0275387263,0.0714285714,0.2138084633
5,1,5,860,219,7,1,595,509,0.1445378151,1.1578261537,6002.2152735573,7283.1663441678,6665.5249182284,0.0995134896,0.8241216787000001,0.119181596,0.0001938245,0.007025761100000001,10.9848023682,13.3291025496,785.7489260212,819.5979853125,687.9030467775,406,0.4720930233,91.4497837083,12329.1183643157,0.22538002000000001,0.33333333330000003,0.33333333330000003,41940.3538512348,41131.2650339149,0.0538461011,0.0,280.4393640441,77.6472327721,0.0,38160.4118980327,0.1705426357,0.1666666667,0.6334405145,0.0675241158,0.0,0,0,0.0,0,0.0,0.9765107459000001,0.9038090509000001,0.0413793103,0.0952380952,0.3626373626
6,1,6,874,218,15,1,583,497,0.1475128645,1.0591543149,7037.2165383815,7866.123471289,7842.1778265243,0.1026451205,0.8946231983,0.085547464,0.1724365451,0.0162790698,11.7807955914,13.1684441151,788.8063673187,727.1930517885,687.7460028897,399,0.4565217391,89.7603677353,13706.1198892648,0.23736683360000002,0.33333333330000003,0.33333333330000003,43484.3954705801,44842.0611191771,0.1143167918,2901.7072679423,348.4513471698,90.4164302368,0.0,38160.4118980327,0.203125,0.0,0.632423756,0.0674157303,0.0,0,0,0.0,0,0.0,0.9403456094,0.8534110036,0.0602409639,0.1666666667,0.6437246964000001
7,1,7,888,217,16,2,587,468,0.20272572400000002,0.8694678827000001,6488.1523172137,6840.3408797935,7731.0216660133,0.16076392,0.94851301,0.0602374405,-0.0780229254,0.0160183066,11.5061752275,12.1307510877,796.6117834791,688.65605869,685.2793819651,416,0.4684684685,87.9564676352,14047.3791194347,0.2376391521,0.0,0.33333333330000003,44448.6407957445,43484.3954705801,0.0878085615,0.0,264.3367993604,117.5028913296,0.0,38160.4118980327,0.2558139535,0.0,0.6334405145,0.0691318328,0.0,0,0,1.0,0,-1.0,0.9116130638000001,0.9147886205,0.06735751300000001,0.11627906980000001,0.8662790698
8,1,8,893,217,7,2,597,474,0.2060301508,0.7719755373,7265.0774582582,6902.6642949117,8692.8031233146,0.164242264,1.0525033737,0.1096351475,0.1197452068,0.0056306306,11.9655736918,11.3686796549,804.3311871445,647.1092425156,695.863685088,514,0.5755879059,86.8253031639,14646.5401846051,0.2410136122,0.0,0.6666666667000001,45552.304626096,44448.6407957445,0.0532769304,0.0,262.0771661223,158.7854579677,0.0,38160.4118980327,0.2913385827,0.0,0.6318327974,0.0691318328,0.0,0,0,1.0,0,-1.0,0.9248341508000001,0.8855170483,0.08290155440000001,0.09302325580000001,0.8056872038
9,1,9,896,217,8,5,596,465,0.2197986577,0.6668448137,8408.3229612725,6848.1550132474,10238.263356285,0.17873542920000002,1.2278231064,0.1665740339,0.1573617776,0.0033594625000000003,13.1567191744,10.7154842633,806.9140318657,601.11856745,657.3094103059,547,0.6104910714,74.5905867037,16117.8245731962,0.2507225726,0.0,0.6666666667000001,47640.4743461001,46454.8395783126,0.0902345741,902.5349522166,325.463505969,189.8990335932,0.0,38160.4118980327,0.380952381,0.0,0.6316639742,0.0694668821,0.0212765957,0,0,1.0,0,-1.0,0.8985240608,0.8626554166,0.13715277780000001,0.16279069770000001,0.7829787234000001
10,1,10,907,217,13,2,595,451,0.2420168067,0.6053873831000001,9178.3165518548,6407.400043145,11503.4222415431,0.2021229544,1.4324556747,0.1666629071,0.09157516830000001,0.0122767857,15.2859620875,10.671158876,807.4660221238,552.8728447204,531.6703635178,475,0.5237045204,59.9094097379,17283.8536247002,0.2541254672,0.0,0.6666666667000001,50133.6049345008,47640.4743461001,0.1219142408,0.0,335.0188745711,252.7205088915,0.0,38160.4118980327,0.3412698413,0.0,0.6320907618,0.0696920583,0.0886075949,0,0,1.0,0,-1.0,0.9294866855,0.8872715065000001,0.2108013937,0.2790697674,0.7741935484
