period,year,period_in_year,population,fertile_women,births,deaths,labor_force,employment_count,unemployment_rate,family_income_to_basket_ratio,gdp_nominal,real_gdp_nominal,potential_gdp_nominal,output_gap_share,cpi,inflation_rate,gdp_growth,population_growth,average_wage,real_average_wage,essential_demand_units,essential_production_units,essential_sales_units,people_full_essential_coverage,full_essential_coverage_share,average_food_meals_per_person,bank_equity,bank_capital_ratio,bank_insolvent_share,bank_undercapitalized_share,central_bank_money_supply,central_bank_target_money_supply,central_bank_policy_rate,central_bank_issuance,government_tax_revenue,government_total_spending,government_deficit,government_debt_outstanding,school_enrollment_share,university_enrollment_share,school_completion_share,university_completion_share,low_resource_school_enrollment_share,low_resource_university_enrollment_share,low_resource_university_student_share,low_resource_origin_upward_mobility_share,low_resource_origin_university_completion_share,poor_origin_university_mobility_lift,school_income_premium,university_income_premium,poverty_rate_without_university,poverty_rate_with_university,skilled_job_fill_rate
1,1,1,808,224,10,2,594,545,0.08249158250000001,0.9514888124,9282.5348573403,9788.2448066983,9763.0124872954,0.049214075100000004,0.9483349712,,,,10.5278978649,11.1014548489,755.8151687158,1298.5487912554,755.8151687158,798,0.9876237624,95.4434803421,3870.9054580832,0.0875372774,0.0,0.0,40395.8785015464,34706.0000698176,0.028761314000000003,0.0,1301.0073514401,1623.2975098206,322.2901583806,35326.6797998435,0.0703125,0.1428571429,0.9548387097000001,0.3258064516,0.0,0,0,0,0,0,1.07927943,0.9574568428,0.0,0.0,0.1496598639
2,1,2,815,222,7,0,596,536,0.1006711409,0.9350648705000001,9303.263813678,9803.2789062034,9982.6103541022,0.0680529958,0.9489951171000001,0.0006961104,0.0022331138,0.008663366300000001,10.5605923214,11.1281840454,759.4748823296,1253.391092171,759.2511743265,808,0.9914110429,95.3304054752,4579.2914808319,0.10062835190000001,0.33333333330000003,0.33333333330000003,40964.6769120518,40363.6909490732,0.0168884184,0.0,1224.8907420871,1748.9073938857,524.0166517986,35774.5798422891,0.0859375,0.14814814810000002,0.9517684887000001,0.3263665595,0.0,0,0,0,0,0,1.1907339881,0.9897594561,0.0047732697,0.0,0.148
3,1,3,819,220,5,1,583,492,0.1560891938,1.0503403941,7629.9720223325,8641.3636905,8724.7644510247,0.1254810299,0.8829592522,-0.0695850418,-0.1798607268,0.0049079755,11.3066352627,12.8053873769,763.4887554081,1212.8872929409,763.4323290955,814,0.9938949939,95.242031566,5359.5803604058,0.1138394957,0.33333333330000003,0.33333333330000003,41506.9329433467,47070.3735626506,0.0128214282,2319.1583534074,1047.7362349266,1404.8964748784,357.1602399518,35954.5855750805,0.140625,0.18518518520000002,0.9516908213,0.3252818035,0.0,0,0,0,0,0,1.1014786355,1.019055754,0.0,0.0,0.1180257511
4,1,4,828,221,9,0,578,473,0.18166089970000002,1.2236760014,6259.2733171733,7792.286401691,7381.046253953,0.1519802069,0.8032653055000001,-0.0902577854,-0.1796466227,0.010989011,11.4164279421,14.2125246336,765.5926841354,1051.2562415222,765.563307751,819,0.9891304348000001,94.5895309022,6218.3737296119,0.1281845844,0.33333333330000003,0.6666666667000001,41909.0121798891,41501.0312046387,0.01,0.0,841.7267411683,1332.9638092199,491.2370680516,36239.8131493738,0.1015625,0.08,0.9517684887000001,0.3279742765,0.0,0,0,0,0,0,1.0736481252,1.0117318204,0.0023923445,0.0,0.1804979253
5,1,5,830,221,2,0,580,495,0.1465517241,1.3514493579,6314.7412212412,8084.7281052218,7140.1225485428,0.11559764160000001,0.7810703266,-0.0276309444,0.0088617162,0.0024154589,11.3355779496,14.5128774763,770.8270341472,879.810690638,770.7392286893,828,0.9975903614,95.0067537268,7327.7336217706,0.1464752775,0.33333333330000003,0.33333333330000003,42398.5448309007,41879.2626940382,0.01,0.0,817.0370131361,1154.4987253906,337.4617122546,36552.5851335961,0.1550387597,0.16,0.9517684887000001,0.3279742765,0.0,0,0,0,0,0,0.9918283212000001,1.0231910257,0.0,0.0,0.44510385760000004
6,1,6,831,219,6,5,576,471,0.1822916667,0.9734126777000001,6568.7927774341,7266.29351382,7752.0122662611,0.1526338515,0.9040087309,0.1573973561,0.0402315071,0.0012048193,11.8581366365,13.1172810968,772.2845319441,723.5028084788,670.7705970267,277,0.33333333330000003,94.4338345661,8525.4822666497,0.1607097642,0.33333333330000003,0.6666666667000001,44188.9706279959,42374.2664193046,0.01,0.0,778.5102563809,1415.7576091725,637.2473527916,38148.5900196005,0.1705426357,0.1739130435,0.9498381877000001,0.3317152104,0.0,0,0,0,0,0,1.1318294198,1.0058584801,0.0072639225000000005,0.0048780488000000006,0.6053639847
7,1,7,838,218,7,0,584,451,0.227739726,0.831780827,6890.3398069461,6825.8706770175,8610.0219547728,0.199730286,1.0094448215,0.1166317172,0.0489507038,0.008423586,12.3050719612,12.1899401527,770.8186664956,662.429506382,674.8965175414,315,0.3758949881,94.0743275405,9465.6608552687,0.1688785919,0.33333333330000003,0.6666666667000001,46079.678729572,44188.9706279959,0.0902694712,0.0,758.0939938265,2086.412788356,1328.3187945295,39473.8793770765,0.1923076923,0.2272727273,0.9498381877000001,0.33333333330000003,0.0,0,0,0,0,0,1.0274357528,1.0373994688,0.0097087379,0.0048543689,0.8109243697
8,1,8,843,218,5,0,592,472,0.20270270270000001,0.7214206981,7776.3363869697,6868.1575105111,9412.0030744662,0.17378518410000002,1.1322303507,0.12163669240000001,0.12858532450000001,0.0059665871,12.2928416376,10.8571914096,775.016626042,547.5642375688,651.25223035,379,0.4495848161,84.2121295343,10658.3295960084,0.1751230282,0.33333333330000003,0.33333333330000003,49634.1982762888,46079.678729572,0.0493838835,0.0,788.4216386744,2879.3313808878,2090.9097422134,41843.6886892352,0.20155038760000002,0.35000000000000003,0.9483037157,0.3360258481,0.0,0,0,0,0,0,1.0347279396,1.0123208989,0.00243309,0.0,0.8975409836
9,1,9,850,218,8,1,588,435,0.2602040816,0.6242493168000001,8991.2230404438,6633.9541476504,11728.2753508244,0.23337210530000002,1.355333914,0.1970478562,0.1562286651,0.008303677300000001,14.8641727755,10.967166557,778.1049000434,501.3197013976,543.3496123368,416,0.48941176470000003,58.9427749787,12054.6305207546,0.17382636240000002,0.33333333330000003,0.33333333330000003,56627.5565658632,53382.5807635772,0.054109272400000005,3748.3824872884,982.9294872342,4198.8149501989,3215.8854629646,46819.503210918,0.2403100775,0.2105263158,0.9482200647000001,0.3381877023,0.0,0,0,0,0,0,1.1191591595000001,0.9973211724000001,0.0,0.0,0.7777777778
10,1,10,853,217,5,2,590,432,0.2677966102,0.5969343359,9252.3226968363,5788.1907802244,12194.0044616753,0.24124001050000002,1.5984826776,0.1794013719,0.0290393927,0.0035294118,17.8047437604,11.1385278113,781.8634302889,482.9302183483,449.9211049395,485,0.5685814771000001,53.9016616689,12006.2992049533,0.150954386,0.0,0.33333333330000003,66798.3681915005,56627.5565658632,0.0749909854,0.0,742.4602136335,5737.5670744806,4995.1068608471,54106.8504791104,0.2421875,0.1764705882,0.9481361426,0.34035656400000003,0.0,0,0,0,0,0,1.0966823994000001,1.0027656904,0.0,0.0,0.7937743191000001
11,1,11,852,217,4,5,585,403,0.3111111111,0.5928522354,9595.3028564274,5136.758956358,13441.1621464632,0.2861255037,1.8679682924,0.16858838610000002,0.0370696279,-0.0011723329,22.9241980543,12.2722629431,783.2033073572,447.9306537993,419.3965947864,432,0.5070422535,47.7726457504,13771.891820492,0.1515072983,0.33333333330000003,0.33333333330000003,76234.9268362269,66879.2062139133,0.0414302672,80.8380224129,547.463206821,7428.5119061965,6881.0486993755,62664.5141521178,0.2857142857,0.4375,0.9478827362000001,0.342019544,0.0,0,0,0,0,0,1.0594736917,0.9812936228,0.0,0.0,0.7357723577
